payment_id,order_id,payment_method,amount,payment_date,payment_status
PAY-0000165,ORD-0000165,Gift Card,579.46,2025-08-08,Completed
PAY-0001236,ORD-0001236,Credit Card,133.03,2024-05-10,Completed
PAY-0000053,ORD-0000053,PayPal,1175.69,2025-01-06,Completed
PAY-0000574,ORD-0000574,Credit Card,3366.99,2026-06-09,Completed
PAY-0005723,ORD-0005723,PayPal,1609.42,2026-09-07,Completed
PAY-0002959,ORD-0002959,PayPal,221.1,2026-07-19,Failed
PAY-0005893,ORD-0005893,Gift Card,356.98,2026-04-25,Completed
PAY-0009237,ORD-0009237,Credit Card,54.54,2025-10-18,Failed
PAY-0008987,ORD-0008987,Bank Transfer,1261.08abc,2025-07-26,Pending
PAY-0005697,ORD-0005697,Gift Card,1344.12,2025-06-07,Completed
PAY-0000453,ORD-0000453,Gift Card,484.4,2026-08-16,Completed
PAY-0007050,ORD-0007050,Credit Card,2401.7,2026-02-08,Completed
PAY-0004020,ORD-0004020,Debit Card,125.21,2026-09-03,Failed
PAY-0008075,ORD-0008075,Credit Card,1613.43,2026-03-01,Completed
PAY-0011499,ORD-0011499,Credit Card,2528.57,2026-08-31,Refunded
PAY-0001972,ORD-0001972,Debit Card,5120.36,2026-05-25,Completed
PAY-0009391,ORD-0009391,Debit Card,6636.94,2025-02-03,Completed
PAY-0002889,ORD-0002889,PayPal,1458.64,2026-02-12,Completed
PAY-0005265,ORD-0005265,Debit Card,257.06,2025-10-20,Completed
PAY-0005581,ORD-0005581,Credit Card,1026.19,29-Oct-2024,Completed
PAY-0008261,ORD-0008261,Debit Card,18.13,2025-12-12,Completed
PAY-0000061,ORD-0000061,Debit Card,480.8,2024-02-07,Completed
PAY-0004898,ORD-0004898,Credit Card,2919.01,28-Jul-2026,Completed
PAY-0001900,ORD-0001900,PayPal,2328.12,2026-04-01,Completed
PAY-0001225,ORD-0001225,,5780.46,19-Jun-2025,Completed
PAY-0003126,ORD-0003126,Credit Card,691.4,2024-12-28,Completed
PAY-0011013,ORD-0011013,Debit Card,119.29,2025-06-30,Refunded
PAY-0009534,ORD-0907590,PayPal,2259.43,2025-12-13,Completed
PAY-0000845,ORD-0000845,PayPal,2470.03,2025-07-08,Completed
PAY-0011853,ORD-0011853,Gift Card,1152.25,2026-02-24,Failed
PAY-0005657,ORD-0005657,Credit Card,3306.32,2025-05-15,Completed
PAY-0011395,ORD-0011395,Debit Card,1431.66,2024-12-06,Completed
PAY-0004375,ORD-0004375,Gift Card,2363.31,2026-08-06,Completed
PAY-0008081,ORD-0008081,Credit Card,253.87,06-Sep-2026,Failed
PAY-0007566,ORD-0007566,Credit Card,2112.16abc,2025-02-16,Completed
PAY-0006732,ORD-0006732,Bank Transfer,2309.48,2025-08-06,Completed
PAY-0004000,ORD-0004000,PayPal,2359.7,2026-07-06,Completed
PAY-0007230,ORD-0967394,PayPal,838.03,2026-05-04,Completed
PAY-0008556,ORD-0008556,PayPal,2756.56,2025-11-15,Completed
PAY-0007692,ORD-0007692,Credit Card,--,2026-01-12,Completed
PAY-0001682,ORD-0001682,Credit Card,348.37,2025-06-05,Failed
PAY-0005892,ORD-0005892,Debit Card,1138.88,12-Mar-2026,Refunded
PAY-0000045,ORD-0932322,Debit Card,1979.15,2026-03-17,Completed
PAY-0006517,ORD-0006517,Credit Card,1000.76,2026-05-08,Pending
PAY-0011113,ORD-0011113,PayPal,19234.57,08-Dec-2024,Completed
PAY-0008185,ORD-0008185,Credit Card,3975.79,2024-10-26,Completed
PAY-0011396,ORD-0011396,Credit Card,489.4,2025-07-11,Refunded
PAY-0002823,ORD-0002823,Credit Card,4073.87,2026-09-07,Refunded
PAY-0010682,ORD-0010682,Credit Card,864.86,03/06/2026,Failed
PAY-0001518,ORD-0001518,Debit Card,650.24,2025-02-17,Refunded
PAY-0007062,ORD-0007062,PayPal,1610.16,2026-06-23,Completed
PAY-0002392,ORD-0002392,PayPal,2387.08,2025-12-28,Completed
PAY-0000569,ORD-0000569,PayPal,233.23,2025-04-06,Completed
PAY-0006776,ORD-0006776,PayPal,843.22,2023-11-19,Failed
PAY-0011650,ORD-0011650,PayPal,$286.72,2025-08-26,Completed
PAY-0006489,ORD-0006489,Credit Card,728.16,24-Jul-2026,Completed
PAY-0005512,ORD-0005512,,3380.55,2026-09-03,Completed
PAY-0001191,ORD-0001191,Debit Card,496.89,05/15/2026,Pending
PAY-0007117,ORD-0007117,PayPal,1984.54,2026-08-09,Refunded
PAY-0007433,ORD-0007433,PayPal,1605.65,2026-03-19,Completed
PAY-0003566,ORD-0003566,Gift Card,1919.91,2025-07-23,Failed
PAY-0010733,ORD-0010733,Debit Card,1929.2,2026-05-23,Failed
PAY-0005656,ORD-0005656,Gift Card,1428.85,2024-01-31,Refunded
PAY-0003980,ORD-0003980,Bank Transfer,2277.18,2025-10-17,Completed
PAY-0002628,ORD-0002628,Gift Card,1997.88,2026-03-21,Completed
PAY-0010558,ORD-0010558,Debit Card,83.67,2026-08-06,Completed
PAY-0005537,ORD-0005537,Credit Card,2840.47,2026-06-13,Refunded
PAY-0001854,ORD-0001854,Debit Card,1317.98,2026-02-17,Completed
PAY-0010802,ORD-0010802,Credit Card,1688.91,2026-07-22,Completed
PAY-0010845,ORD-0010845,Debit Card,402.27,2026-02-14,Refunded
PAY-0005154,ORD-0005154,PayPal,1096.28,2025-06-19,Failed
PAY-0006302,ORD-0006302,Credit Card,662.08,2026-06-04,Pending
PAY-0003913,ORD-0003913,Credit Card,5699.74,2025-06-11,Failed
PAY-0009043,ORD-0009043,Debit Card,330.27,2026-02-07,Completed
PAY-0004335,ORD-0004335,Credit Card,1430.66,2026-06-12,Failed
PAY-0009728,ORD-0009728,Gift Card,539.96,2025-04-02,Completed
PAY-0001930,ORD-0001930,Credit Card,4142.95,2024-12-28,Pending
PAY-0009209,ORD-0009209,Credit Card,724.08,2026-03-16,Completed
PAY-0001075,ORD-0001075,Debit Card,2479.44,2026-08-20,Completed
PAY-0001813,ORD-0001813,Debit Card,3017.18,2025-03-08,Completed
PAY-0003044,ORD-0003044,PayPal,1112.72,2025-05-22,Completed
PAY-0011840,ORD-0011840,PayPal,1322.51,2024-09-13,Completed
PAY-0000351,ORD-0000351,Debit Card,1645.73,2026-07-14,Completed
PAY-0007267,ORD-0007267,,7511.96,2025-07-25,Completed
PAY-0005932,ORD-0005932,Debit Card,1877.12,2024-04-18,Completed
PAY-0009729,ORD-0009729,Debit Card,205.83,2025-09-12,Completed
PAY-0005980,ORD-0005980,PayPal,3092.39,2026-03-11,Completed
PAY-0006187,ORD-0006187,Bank Transfer,1262.49,2026-09-08,Refunded
PAY-0010547,ORD-0010547,Debit Card,552.1,2024-08-10,Failed
PAY-0006194,ORD-0006194,Gift Card,393.65,2026-08-07,Completed
PAY-0008802,ORD-0008802,PayPal,319.86,2025-05-28,Completed
PAY-0004201,ORD-0004201,Credit Card,1398.84,2026-08-14,Completed
PAY-0008026,ORD-0008026,Credit Card,1260.11,2026-02-24,Completed
PAY-0010675,ORD-0010675,PayPal,729.46,2026-05-18,Completed
PAY-0009206,ORD-0009206,PayPal,1292.98abc,2025-04-04,Completed
PAY-0002164,ORD-0002164,PayPal,2241.87,2026-09-03,Completed
PAY-0005649,ORD-0005649,Gift Card,472.14,2026-02-16,Completed
PAY-0009552,ORD-0009552,Credit Card,2715.51,2026-06-11,Failed
PAY-0007072,ORD-0007072,Debit Card,2687.78,2026-07-10,Pending
PAY-0006236,ORD-0006236,Gift Card,480.3,2024-06-16,Completed
PAY-0007575,ORD-0007575,Credit Card,1209.33,2026-06-13,Failed
PAY-0010561,ORD-0010561,Debit Card,423.95,2025-08-20,Failed
PAY-0009283,ORD-0009283,,1022.35,2025-07-23,Completed
PAY-0000066,ORD-0000066,PayPal,2181.04,2026-06-15,Completed
PAY-0001051,ORD-0001051,Credit Card,1912.43,2026-02-07,Completed
PAY-0008883,ORD-0945860,Credit Card,272.67,2025-02-28,Completed
PAY-0009071,ORD-0009071,Credit Card,1507.96,2026-05-27,Completed
PAY-0000968,ORD-0000968,Credit Card,1842.21,2025-06-04,Failed
PAY-0005184,ORD-0005184,Bank Transfer,4428.87,2025-01-25,Completed
PAY-0000827,ORD-0000827,Credit Card,3567.94,2026-08-03,Completed
PAY-0006137,ORD-0006137,Debit Card,539.77,2026-08-21,Completed
PAY-0008450,ORD-0008450,Credit Card,3610.65,2026-05-24,Completed
PAY-0004589,ORD-0004589,Credit Card,186.92,2026-05-06,Completed
PAY-0007240,ORD-0007240,PayPal,1923.2,2026-05-07,Completed
PAY-0005176,ORD-0005176,Credit Card,7236.05,2026-04-21,Completed
PAY-0007628,ORD-0007628,Credit Card,805.98,2026-01-05,Completed
PAY-0007314,ORD-0007314,Debit Card,985.84,2025-04-26,Refunded
PAY-0009979,ORD-0009979,Gift Card,1578.11,2026-05-12,Completed
PAY-0003355,ORD-0003355,Credit Card,366.63,2025-01-27,Pending
PAY-0002572,ORD-0002572,Credit Card,2566.78,2026-06-06,Completed
PAY-0001295,ORD-0001295,Gift Card,713.95,2026-08-10,Completed
PAY-0009082,ORD-0009082,Credit Card,1772.16,29-Mar-2026,Completed
PAY-0008174,ORD-0008174,Credit Card,2112.18,2026-08-09,Completed
PAY-0006586,ORD-0006586,Credit Card,2467.24,2025-07-01,Completed
PAY-0005674,ORD-0005674,Debit Card,4030.22,2025-02-23,Completed
PAY-0007496,ORD-0007496,Credit Card,898.02,2025-06-21,Completed
PAY-0005254,ORD-0005254,,209.12abc,2025-12-13,Completed
PAY-0004727,ORD-0004727,Credit Card,3018.1,2026-06-08,Failed
PAY-0010885,ORD-0010885,Debit Card,500.47,2025-03-20,Completed
PAY-0006684,ORD-0006684,Credit Card,689.49,2024-10-30,Completed
PAY-0000638,ORD-0000638,PayPal,921.65,2025-02-27,Completed
PAY-0007362,ORD-0007362,Debit Card,1452.47,2026-02-13,Completed
PAY-0002508,ORD-0002508,PayPal,219.44,2026-08-26,Completed
PAY-0007685,ORD-0007685,Debit Card,1297.13,2026-05-03,Failed
PAY-0005924,ORD-0005924,Credit Card,1753.11,2026-02-14,Completed
PAY-0010584,ORD-0010584,PayPal,1875.24,2025-03-21,Completed
PAY-0004689,ORD-0004689,Credit Card,129.96,2026-05-15,Completed
PAY-0008408,ORD-0008408,Gift Card,2003.84,2025-12-31,Completed
PAY-0006507,ORD-0006507,PayPal,981.38,2026-01-19,Completed
PAY-0000657,ORD-0000657,Credit Card,881.81,2026-06-08,Completed
PAY-0006899,ORD-0006899,Debit Card,1039.54,2025-08-13,Completed
PAY-0002206,ORD-0002206,Credit Card,731.74,2023-11-19,Completed
PAY-0007608,ORD-0007608,Debit Card,1871.46,2026-08-09,Completed
PAY-0011541,ORD-0011541,Credit Card,909.63,2025-07-15,Completed
PAY-0010719,ORD-0010719,,2909.4,2025-11-07,Completed
PAY-0005866,ORD-0005866,Credit Card,2742.2,2026-09-01,Completed
PAY-0005094,ORD-0005094,Gift Card,3168.94,2025-12-14,Failed
PAY-0001599,ORD-0001599,Credit Card,1127.62,2025-08-12,Failed
PAY-0000761,ORD-0000761,Debit Card,350.16,2025-12-14,Completed
PAY-0009998,ORD-0009998,Credit Card,2351.88,2024-02-04,Completed
PAY-0006979,ORD-0006979,Credit Card,2686.54,2026-06-12,Completed
PAY-0001661,ORD-0001661,,540.19,2026-08-22,Completed
PAY-0010224,ORD-0010224,Gift Card,112.66,2024-06-02,Refunded
PAY-0010179,ORD-0010179,PayPal,933.48,2025-08-02,Completed
PAY-0004554,ORD-0004554,Credit Card,302.83,2026-06-09,Completed
PAY-0010142,ORD-0010142,PayPal,1644.83,2026-08-18,Refunded
PAY-0008728,ORD-0008728,Credit Card,3709.68,2025-01-06,Completed
PAY-0002318,ORD-0002318,Debit Card,$1806.08,2024-08-01,Failed
PAY-0009378,ORD-0009378,PayPal,1740.95,2026-06-25,Completed
PAY-0006693,ORD-0006693,Credit Card,2555.85,2025-09-24,Completed
PAY-0006447,ORD-0006447,PayPal,--,2026-05-27,Completed
PAY-0006812,ORD-0006812,Gift Card,N/A,2026-01-19,Completed
PAY-0007974,ORD-0007974,Credit Card,1115.72,2024-02-25,Completed
PAY-0008382,ORD-0008382,Credit Card,3795.61,2026-07-09,Completed
PAY-0011123,ORD-0011123,PayPal,735.32,2026-05-05,Refunded
PAY-0008128,ORD-0008128,Debit Card,1573.27,2025-10-29,Completed
PAY-0003841,ORD-0003841,,544.99,2023-10-18,Completed
PAY-0005305,ORD-0005305,PayPal,2072.43,2026-02-23,Refunded
PAY-0005975,ORD-0005975,Credit Card,2512.46,2026-08-09,Failed
PAY-0007410,ORD-0007410,Debit Card,1333.43,2024-03-13,Refunded
PAY-0000251,ORD-0000251,,2976.8,2026-04-26,Completed
PAY-0002445,ORD-0002445,Debit Card,6596.56,2026-01-19,Refunded
PAY-0005313,ORD-0005313,Credit Card,969.56,2026-01-10,Completed
PAY-0002864,ORD-0002864,Credit Card,2662.42,2026-03-23,Refunded
PAY-0002633,ORD-0002633,Credit Card,1272.53,2026-07-08,Completed
PAY-0011487,ORD-0011487,Credit Card,1516.43,2026-07-18,Failed
PAY-0006838,ORD-0006838,Credit Card,3326.94,2026-08-19,Completed
PAY-0011839,ORD-0011839,Credit Card,711.25,2025-08-24,Completed
PAY-0007442,ORD-0007442,Credit Card,?,2026-03-01,Pending
PAY-0008531,ORD-0008531,Gift Card,642.72,2025-07-24,Completed
PAY-0007046,ORD-0007046,PayPal,677.35,2026-05-21,Completed
PAY-0008548,ORD-0008548,Credit Card,2419.63,2025-08-16,Completed
PAY-0009913,ORD-0009913,PayPal,53.69,2025-10-13,Failed
PAY-0000907,ORD-0000907,PayPal,4535.92,2026-09-02,Failed
PAY-0008137,ORD-0008137,Debit Card,548.74,"June 14, 2026",Completed
PAY-0006703,ORD-0006703,Credit Card,5936.76,2026-03-18,Pending
PAY-0008362,ORD-0008362,Credit Card,1815.75,2025-03-30,Failed
PAY-0005814,ORD-0005814,Bank Transfer,1288.86,2026-06-22,Completed
PAY-0011504,ORD-0011504,Bank Transfer,843.58,2024-11-02,Failed
PAY-0009926,ORD-0009926,Credit Card,2306.76,2025-06-27,Refunded
PAY-0001179,ORD-0001179,Credit Card,2026.69,2026-02-02,Pending
PAY-0000987,ORD-0000987,,2055.86,2024-12-28,Pending
PAY-0003442,ORD-0003442,Credit Card,544.1,2026-06-19,Refunded
PAY-0009426,ORD-0009426,PayPal,671.48,2025-09-23,Completed
PAY-0009748,ORD-0009748,Gift Card,242.05,2025-08-29,Refunded
PAY-0010018,ORD-0960055,Credit Card,768.42,2026-07-17,Completed
PAY-0010514,ORD-0010514,Gift Card,1085.13,2025-11-13,Completed
PAY-0005624,ORD-0005624,Credit Card,2808.0,2025-11-21,Completed
PAY-0006624,ORD-0006624,Gift Card,451.88,2026-09-01,Completed
PAY-0002107,ORD-0002107,Credit Card,3257.83,2026-08-22,Completed
PAY-0003268,ORD-0003268,PayPal,4565.87,2026-06-14,Completed
PAY-0009557,ORD-0009557,Credit Card,474.32,2025-07-27,Completed
PAY-0001878,ORD-0001878,Debit Card,410.58,2026-01-05,Completed
PAY-0008468,ORD-0008468,Credit Card,1252.74,2025-02-09,Completed
PAY-0002696,ORD-0002696,Debit Card,431.05,2026-03-27,Failed
PAY-0008444,ORD-0008444,Debit Card,2329.99,2023-12-27,Refunded
PAY-0010741,ORD-0010741,PayPal,1143.15,2025-03-05,Completed
PAY-0005116,ORD-0005116,Credit Card,1773.99,2026-01-20,Refunded
PAY-0007030,ORD-0007030,Credit Card,1841.05,2025-06-17,Completed
PAY-0001760,ORD-0001760,Credit Card,null,2026-08-22,Refunded
PAY-0010722,ORD-0010722,PayPal,4608.8,2026-08-08,Failed
PAY-0010781,ORD-0010781,Gift Card,602.08,07/22/2026,Refunded
PAY-0011686,ORD-0011686,Credit Card,852.36,2026-06-01,Completed
PAY-0008000,ORD-0008000,Credit Card,1170.76,2025-04-10,Completed
PAY-0001044,ORD-0001044,Credit Card,1650.55,2025-10-29,Completed
PAY-0010712,ORD-0010712,Gift Card,1008.21,2025-10-20,Failed
PAY-0007256,ORD-0007256,Credit Card,639.84,2025-06-28,Completed
PAY-0006165,ORD-0006165,Credit Card,3317.88,2026-07-09,Failed
PAY-0010259,ORD-0010259,Debit Card,3320.88,2026-08-22,Refunded
PAY-0004053,ORD-0004053,Debit Card,3694.47,2026-07-24,Completed
PAY-0007126,ORD-0007126,Debit Card,2587.2,2026-09-04,Failed
PAY-0006943,ORD-0006943,PayPal,1401.94,2025-08-21,Completed
PAY-0000358,ORD-0000358,Bank Transfer,2836.55,2024-02-16,Refunded
PAY-0010160,ORD-0010160,Debit Card,?,2026-04-27,Completed
PAY-0003631,ORD-0003631,Gift Card,4732.96,2025-05-15,Completed
PAY-0004167,ORD-0004167,Credit Card,1931.44,2026-02-04,Refunded
PAY-0000673,ORD-0000673,Debit Card,3099.94,2025-06-08,Refunded
PAY-0007920,ORD-0007920,Credit Card,2453.46,2026-04-12,Completed
PAY-0007909,ORD-0007909,Credit Card,504.45,2026-07-06,Completed
PAY-0008270,ORD-0008270,PayPal,5705.79,2024-12-20,Completed
PAY-0005997,ORD-0005997,Credit Card,1362.96,2026-07-05,Failed
PAY-0002038,ORD-0002038,PayPal,256.23,2025-08-01,Completed
PAY-0011705,ORD-0011705,Credit Card,431.77,2026-09-04,Completed
PAY-0000596,ORD-0000596,Credit Card,378.46,2025-11-17,Completed
PAY-0010129,ORD-0010129,Debit Card,2232.17,2026-05-25,Completed
PAY-0004287,ORD-0004287,Bank Transfer,771.1,2026-07-05,Refunded
PAY-0003170,ORD-0003170,Debit Card,1321.34,2026-06-27,Completed
PAY-0008629,ORD-0922747,Debit Card,16.52,2026-07-22,Completed
PAY-0004540,ORD-0004540,Credit Card,82953.33,2025-02-02,Completed
PAY-0008159,ORD-0008159,Credit Card,-3145.91,2026-06-19,Completed
PAY-0007754,ORD-0007754,Credit Card,4069.74,2025-05-25,Completed
PAY-0009441,ORD-0009441,Debit Card,2200.05,2026-08-31,Completed
PAY-0009906,ORD-0009906,Debit Card,355.3,2026-08-15,Completed
PAY-0000027,ORD-0000027,PayPal,1776.55,2026-03-30,Completed
PAY-0009027,ORD-0009027,Debit Card,1269.24,2024-09-02,Pending
PAY-0011225,ORD-0011225,PayPal,1006.02,2026-03-13,Pending
PAY-0009869,ORD-0009869,Gift Card,5230.68,2025-09-16,Failed
PAY-0000609,ORD-0000609,Debit Card,384.51,2025-12-20,Pending
PAY-0003540,ORD-0003540,Gift Card,255.14,2026-08-29,Pending
PAY-0010790,ORD-0010790,PayPal,1790.78,2025-05-02,Pending
PAY-0009732,ORD-0009732,Credit Card,664.56,2025-12-20,Completed
PAY-0003616,ORD-0003616,Credit Card,451.38,2024-04-05,Completed
PAY-0009195,ORD-0009195,PayPal,298.74,2025-04-27,Failed
PAY-0006596,ORD-0006596,Debit Card,715.58,2026-08-15,Completed
PAY-0004963,ORD-0004963,Gift Card,777.8,2026-01-19,Completed
PAY-0009221,ORD-0009221,Credit Card,3553.35,2025-09-21,Failed
PAY-0008499,ORD-0008499,Credit Card,111.93,2025-09-25,Completed
PAY-0006023,ORD-0006023,Credit Card,728.91,2026-03-22,Completed
PAY-0005271,ORD-0005271,PayPal,3421.12,2026-06-13,Refunded
PAY-0009536,ORD-0009536,Gift Card,752.49,02-Apr-2026,Completed
PAY-0003172,ORD-0003172,Debit Card,1527.7,2026-02-08,Completed
PAY-0002663,ORD-0002663,PayPal,197.86,2026-06-24,Completed
PAY-0010277,ORD-0010277,PayPal,3098.38,2025-11-01,Failed
PAY-0003519,ORD-0003519,Debit Card,732.19,2026-05-17,Pending
PAY-0002287,ORD-0002287,Credit Card,4362.04,2025-09-20,Completed
PAY-0006184,ORD-0006184,PayPal,1866.21,2025-02-06,Completed
PAY-0006031,ORD-0006031,PayPal,2819.12,2026-06-20,Refunded
PAY-0002965,ORD-0002965,Credit Card,2235.21,2025-05-01,Completed
PAY-0011852,ORD-0011852,PayPal,2713.04,2025-11-17,Pending
PAY-0009049,ORD-0009049,Debit Card,1697.06,2026-05-09,Completed
PAY-0001985,ORD-0001985,Credit Card,574.46,2025-11-01,Completed
PAY-0002337,ORD-0002337,Credit Card,2638.03,2025-10-24,Completed
PAY-0002109,ORD-0002109,PayPal,569.32,2026-05-31,Completed
PAY-0009677,ORD-0009677,Gift Card,761.4,2024-08-31,Completed
PAY-0009739,ORD-0009739,Credit Card,1658.69,2026-05-11,Completed
PAY-0009312,ORD-0009312,Credit Card,2146.37,2026-08-24,Completed
PAY-0003437,ORD-0003437,Debit Card,2972.25,2025-12-28,Completed
PAY-0010890,ORD-0010890,Credit Card,5953.98,30-Jun-2025,Completed
PAY-0007485,ORD-0007485,Debit Card,697.52,10/09/2025,Failed
PAY-0003775,ORD-0003775,Credit Card,3013.76,2024-09-09,Completed
PAY-0000270,ORD-0000270,Credit Card,-1222.96,2026-03-03,Completed
PAY-0004852,ORD-0004852,Gift Card,3054.45,"August 18, 2026",Failed
PAY-0011835,ORD-0011835,Credit Card,424.86,27-Mar-2026,Completed
PAY-0006569,ORD-0006569,Gift Card,6919.81,2025-07-21,Completed
PAY-0009294,ORD-0009294,Credit Card,3121.95,2026-06-26,Completed
PAY-0000776,ORD-0000776,PayPal,2425.54,2026-08-29,Completed
PAY-0000486,ORD-0000486,Credit Card,2432.37,2025-04-17,Completed
PAY-0010011,ORD-0010011,,763.84,2026-06-29,Refunded
PAY-0004652,ORD-0004652,Bank Transfer,4317.99,2025-11-19,Pending
PAY-0004719,ORD-0004719,Credit Card,2963.95,2025-11-18,Refunded
PAY-0009904,ORD-0009904,Credit Card,-4427.6,2025-08-11,Pending
PAY-0006468,ORD-0006468,Credit Card,2359.3,2024-07-01,Refunded
PAY-0009410,ORD-0009410,Credit Card,1928.46,2026-05-01,Pending
PAY-0006980,ORD-0006980,Debit Card,1278.49,2025-09-24,Completed
PAY-0004843,ORD-0004843,Credit Card,1179.68,2024-03-28,Refunded
PAY-0004274,ORD-0004274,Credit Card,361.05,2024-11-03,Failed
PAY-0008587,ORD-0990848,Gift Card,361.56,2026-07-10,Refunded
PAY-0006482,ORD-0006482,Credit Card,1102.28,2026-07-25,Failed
PAY-0008377,ORD-0008377,Debit Card,3970.52,2026-02-17,Pending
PAY-0005808,ORD-0005808,Debit Card,1685.48,2024-02-28,Completed
PAY-0004957,ORD-0004957,Credit Card,4844.08,2026-08-03,Completed
PAY-0001719,ORD-0001719,Debit Card,2247.79,2025-05-26,Completed
PAY-0009516,ORD-0009516,PayPal,50.07,2025-06-09,Completed
PAY-0011255,ORD-0011255,PayPal,480.58,2024-11-18,Completed
PAY-0006915,ORD-0006915,Debit Card,294.18,2026-07-29,Completed
PAY-0010644,ORD-0010644,Credit Card,2338.47,2024-04-04,Failed
PAY-0010534,ORD-0010534,Credit Card,2785.86,2026-02-09,Completed
PAY-0003941,ORD-0003941,PayPal,1113.17,2025-07-18,Completed
PAY-0002881,ORD-0002881,Credit Card,2280.96,2025-06-20,Completed
PAY-0004602,ORD-0004602,Debit Card,2426.45,2025-01-12,Completed
PAY-0005784,ORD-0005784,Credit Card,3911.84,2026-03-11,Pending
PAY-0010289,ORD-0010289,,643.89,2025-08-17,Failed
PAY-0004062,ORD-0004062,PayPal,117.65,2025-11-21,Completed
PAY-0004307,ORD-0004307,Credit Card,3968.83,2026-08-05,Pending
PAY-0001204,ORD-0001204,Credit Card,1785.63,2025-10-02,Pending
PAY-0010768,ORD-0010768,Credit Card,1054.75,2025-03-04,Completed
PAY-0006715,ORD-0006715,Debit Card,3817.33,2026-02-14,Failed
PAY-0002832,ORD-0002832,Credit Card,227.39,2025-06-20,Failed
PAY-0009072,ORD-0009072,PayPal,649.4,2025-12-27,Refunded
PAY-0008756,ORD-0008756,Credit Card,1836.53,2026-05-29,Completed
PAY-0002634,ORD-0002634,Gift Card,922.46,2026-07-26,Completed
PAY-0001525,ORD-0001525,PayPal,886.46,2025-02-25,Completed
PAY-0003568,ORD-0003568,Gift Card,3987.68,2026-08-23,Refunded
PAY-0004986,ORD-0004986,Debit Card,4486.45,2026-08-03,Completed
PAY-0007943,ORD-0007943,Credit Card,3864.67,2025-06-18,Completed
PAY-0010123,ORD-0010123,PayPal,1882.96,2026-02-20,Failed
PAY-0001455,ORD-0001455,Debit Card,1066.4,2026-08-17,Completed
PAY-0001618,ORD-0001618,PayPal,228.9,2025-02-19,Completed
PAY-0002780,ORD-0002780,Credit Card,1110.84,2026-06-28,Completed
PAY-0007154,ORD-0007154,Gift Card,2871.6,2026-07-27,Failed
PAY-0006757,ORD-0006757,Debit Card,4243.85,2026-05-18,Failed
PAY-0001280,ORD-0001280,Debit Card,593.86,2025-07-08,Completed
PAY-0010720,ORD-0010720,PayPal,1952.56,2025-07-17,Completed
PAY-0006887,ORD-0006887,Credit Card,302.16,2026-07-05,Pending
PAY-0002629,ORD-0002629,Credit Card,3082.0,2026-08-04,Completed
PAY-0006708,ORD-0006708,PayPal,12.64,2026-08-16,Failed
PAY-0010151,ORD-0010151,Debit Card,1151.96,2024-04-09,Completed
