order_id,customer_id,order_date,order_status,channel,shipping_city,shipping_state
ORD-0001257,CUST-002475,2026-05-10,Shipped,Mobile App,South Sheila,OH
ORD-0007860,CUST-002677,2026-05-28,Delivered,Web,North Luischester,NC
ORD-0004225,CUST-000526,2024-03-22,Processing,Web,East Natalieland,NC
ORD-0007046,CUST-002574,2026-05-20,Shipped,Mobile App,Johnathanside,PA
ORD-0000975,CUST-000982,2026-06-30,Placed,Web,New Lindabury,TX
ORD-0001190,CUST-001538,2025-06-22,Delivered,Marketplace,Cookville,IL
ORD-0009380,,2025-07-02,Returned,Web,Millerborough,TX
ORD-0006179,CUST-001198,2026-06-17,Cancelled,Mobile App,Williamsville,NY
ORD-0011956,CUST-001466,2026-08-04,Processing,Marketplace,West Andrea,WA
ORD-0008382,CUST-000803,2026-07-07,pLACED,Web,South Kristina,AZ
ORD-0006696,CUST-001995,2024-03-29,Shipped,Mobile App,Lynnmouth,PA
ORD-0008489,CUST-001712,2026-07-02,Delivered,Mobile App,Jaredmouth,AZ
ORD-0001312,CUST-000707,2025-11-11,Delivered,In-Store,Carrieborough,AZ
ORD-0005786,CUST-002636,2025-12-10,Placed,Web,Davidside,NC
ORD-0008158,CUST-002254,2024-12-21,Processing,Mobile App,Christopherborough,FL
ORD-0002120,CUST-000500,2026-05-20,Cancelled,Mobile App,Port Julie,AZ
ORD-0009138,CUST-000992,2024-10-09,Delivered,Web,South Davidberg,PA
ORD-0010880,CUST-000958,06/14/2025,Delivered,Web,East Angela,NY
ORD-0006527,CUST-002429,2026-03-17,Placed,Web,Matamouth,FL
ORD-0008125,CUST-002347,2025-05-20,Delivered,Web,Lake Daniel,OH
ORD-0003514,CUST-000601,2026-08-27,Processing,Mobile App,Donnahaven,PA
ORD-0009902,CUST-002863,2026-09-02,Placed,Mobile App,East Timothyfort,NY
ORD-0010101,CUST-002101,2025-10-16,Delivered,Web,West Isaac,FL
ORD-0007332,CUST-002407,2026-08-14,Cancelled,Marketplace,New Tinamouth,GA
ORD-0003983,CUST-000761,2026-07-07,Cancelled,Web,Johnsonville,GA
ORD-0000474,CUST-002616,2026-03-08,Cancelled,Mobile App,North Joshua,GA
ORD-0009461,CUST-001534,2025-12-18,Cancelled,Mobile App,Ritaland,IL
ORD-0007200,CUST-001725,2026-08-20,Shipped,In-Store,,FL
ORD-0010190,CUST-000306,2026-03-30,Placed,Mobile App,New Peter,GA
ORD-0010937,CUST-002283,2026-08-30,Processing,Web,New Tylermouth,OH
ORD-0001500,CUST-002697,2025-12-10,Delivered,Marketplace,Norrisstad,PA
ORD-0006965,CUST-000942,2026-05-18,Shipped,Web,South Dustin,WA
ORD-0004188,CUST-002287,2024-10-18,Delivered,Marketplace,Johnsonmouth,PA
ORD-0005884,CUST-001129,2025-10-21,Delivered,Mobile App,Collinstown,NY
ORD-0007306,CUST-002613,2025-07-12,Delivered,Web,West Johnmouth,MI
ORD-0009076,CUST-002259,2025-08-23,Processing,Mobile App,West Kathleen,OH
ORD-0007800,CUST-000636,2025-12-09,Delivered,In-Store,Jesseberg,TX
ORD-0002513,CUST-000260,2026-05-14,Delivered,Web,Grosshaven,GA
ORD-0000246,CUST-000155,2025-05-23,Processing,Web,New Amber,FL
ORD-0009005,CUST-000550,2026-08-14,Shipped,Web,Mooreville,OH
ORD-0007444,CUST-002189,2025-11-12,Cancelled,Web,Turnerland,OH
ORD-0010003,CUST-002614,2026-02-18,Delivered,Mobile App,Hortonfurt,MI
ORD-0004284,CUST-002832,17-Mar-2026,Processing,Mobile App,North Ashleystad,OH
ORD-0002275,,2026-08-15,Shipped,Mobile App,Wrightberg,GA
ORD-0010912,CUST-000068,2025-01-28,Delivered,Web,Fischermouth,NY
ORD-0006895,CUST-002598,2025-01-26,Processing,Mobile App,East Dannystad,CA
ORD-0004654,CUST-000755,2026-08-11,Processing,Web,Melissafurt,NY
ORD-0007683,CUST-002013,"April 27, 2026",Delivered,Web,Walkerview,IL
ORD-0001191,CUST-000668,2026-05-12,Shipped,Mobile App,South Jillianmouth,CA
ORD-0002733,CUST-000267,2024-07-01,Processing,In-Store,Johnchester,NC
ORD-0004852,CUST-001640,2026-08-16,Delivered,In-Store,,CA
ORD-0002964,CUST-000078,2026-07-28,Processing,In-Store,East Evan,FL
ORD-0010154,CUST-002879,2025-11-30,Placed,Mobile App,East Debbie,PA
ORD-0009857,CUST-001273,2026-07-14,Delivered,Mobile App,New Meganstad,WA
ORD-0003920,CUST-000487,2024-03-03,Delivered,Web,Port Samantha,CA
ORD-0006645,CUST-002117,2025-12-29,Delivered,Mobile App,East Cynthiamouth,GA
ORD-0009924,CUST-002457,2026-08-06,Shipped,Mobile App,Melissaville,IL
ORD-0005200,CUST-001394,2026-07-18,Processing,Mobile App,Edwardschester,GA
ORD-0007677,CUST-000994,2025-10-08,sHIPPED,In-Store,North Susanland,WA
ORD-0005307,CUST-000159,2025-06-16,Processing,In-Store,Randallfort,WA
ORD-0002351,CUST-000302,2026-08-24,Processing,Mobile App,Velasquezborough,GA
ORD-0004607,CUST-002584,2026-08-13,Processing,Mobile App,Sarahshire,FL
ORD-0006376,CUST-000159,2026-04-03,Placed,Mobile App,Port Anna,IL
ORD-0003231,CUST-002428,2026-02-28,Shipped,Web,North Jason,TX
ORD-0006279,,2026-07-29,Placed,Web,North Sheliaville,WA
ORD-0008457,CUST-002790,2025-11-23,Delivered,Web,South Danielle,TX
ORD-0002284,CUST-000436,2025-11-21,Shipped,Marketplace,Powersfort,CA
ORD-0004260,CUST-002316,2026-02-17,Delivered,Web,,FL
ORD-0011678,CUST-001868,04/04/2026,Delivered,Mobile App,Lake April,AZ
ORD-0003097,CUST-001651,2026-07-05,Shipped,Mobile App,Goodmanbury,PA
ORD-0004053,CUST-001043,2026-07-23,Placed,Marketplace,Thomasshire,NY
ORD-0000698,CUST-000316,2026-03-08,Delivered,Web,South Laurafurt,MI
ORD-0001044,CUST-000564,2025-10-26,Cancelled,Marketplace,East Allenland,MI
ORD-0001783,CUST-001340,2026-08-16,Processing,Web,Port Mark,MI
ORD-0002643,CUST-001494,2026-04-23,Processing,Web,Port Christinafort,MI
ORD-0011729,CUST-002793,2026-07-22,Placed,Mobile App,New Brianna,CA
ORD-0010566,CUST-001481,2023-12-13,Delivered,In-Store,West Rachelfort,MI
ORD-0007920,CUST-002979,2026-04-09,Delivered,Mobile App,Port Tammy,PA
ORD-0005243,CUST-001503,2024-11-16,Delivered,Web,Acevedoberg,TX
ORD-0007950,CUST-000568,2024-08-28,Cancelled,Mobile App,North Shawn,IL
ORD-0003115,CUST-002546,2026-04-03,Cancelled,In-Store,Port Austin,WA
ORD-0004122,CUST-000709,2026-08-13,Placed,Mobile App,Terryberg,IL
ORD-0008501,CUST-001723,2026-02-23,Delivered,Mobile App,Summersville,WA
ORD-0004771,CUST-002860,2026-02-14,Delivered,Marketplace,Shawview,AZ
ORD-0004722,CUST-000613,2025-08-28,Delivered,Marketplace,Gordonhaven,OH
ORD-0004874,CUST-000071,2025-08-22,Placed,Mobile App,South Dennis,AZ
ORD-0001965,CUST-002728,2026-01-07,Delivered,Web,New Zacharyland,IL
ORD-0005261,CUST-000932,2025-07-25,Delivered,Marketplace,East Robert,MI
ORD-0000971,CUST-001030,2026-07-01,Processing,Web,Jacobland,WA
ORD-0000544,CUST-002173,2024-08-27,Placed,Mobile App,Marthashire,AZ
ORD-0007277,CUST-001247,2025-03-23,Shipped,Web,Martinezmouth,WA
ORD-0005516,CUST-000759,2025-11-13,Shipped,Web,Beverlyton,GA
ORD-0004731,CUST-002881,2026-09-02,Delivered,Web,West Michael,FL
ORD-0004190,CUST-002198,2026-07-16,Delivered,Web,Lake Haileystad,FL
ORD-0008166,CUST-001697,2025-11-27,Processing,Mobile App,Port Carlosburgh,PA
ORD-0002458,CUST-001763,2026-06-05,Processing,Web,Cliffordland,FL
ORD-0008270,CUST-000906,2024-12-20,Placed,Marketplace,East Megan,GA
ORD-0008181,CUST-002483,2025-01-31,Returned,Web,New Ronald,NY
ORD-0003145,CUST-000979,2025-11-29,pLACED,Mobile App,West Davidton,CA
ORD-0007358,CUST-001047,2026-03-17,Placed,In-Store,Lake Julieville,AZ
ORD-0006340,CUST-000779,2025-04-08,Cancelled,In-Store,Mcgeestad,NC
ORD-0003828,CUST-902016,2026-06-30,Placed,Mobile App,Marioshire,GA
ORD-0007602,CUST-000595,2026-07-30,Placed,Mobile App,West Heathershire,TX
ORD-0006016,CUST-002885,2025-07-29,Delivered,In-Store,Kathrynbury,NC
ORD-0001453,CUST-002119,2026-03-04,Returned,Mobile App,West Taylorstad,NY
ORD-0004488,CUST-001946,2026-03-04,Shipped,Web,,FL
ORD-0001402,CUST-000897,2026-04-11,Delivered,Mobile App,South Rebecca,NY
ORD-0008756,CUST-002789,2026-05-28,Delivered,Mobile App,North Thomasbury,GA
ORD-0004651,CUST-001889,2026-05-20,Returned,Marketplace,Lake Ericaville,PA
ORD-0003957,CUST-002467,2025-12-03,Delivered,Mobile App,Kaylatown,MI
ORD-0003848,CUST-001676,2026-03-22,Shipped,In-Store,Rhodesville,CA
ORD-0011616,CUST-000063,2025-06-30,Processing,Mobile App,Williamsmouth,PA
ORD-0006632,CUST-001958,2026-06-18,Shipped,In-Store,,NY
ORD-0000891,CUST-002439,2026-05-13,Delivered,Mobile App,Webbberg,CA
ORD-0007524,CUST-000564,2025-11-09,Delivered,Web,Lake Thomasberg,FL
ORD-0001946,CUST-002459,2026-08-27,Cancelled,Mobile App,New Laurabury,GA
ORD-0010215,CUST-002323,2026-04-13,Placed,Web,,GA
ORD-0010354,CUST-000755,2026-06-05,Shipped,Mobile App,Walkermouth,WA
ORD-0010957,CUST-000532,2024-12-13,Placed,Mobile App,Sandovalburgh,TX
ORD-0009022,CUST-000785,2026-07-17,Processing,Mobile App,Mortonview,NC
ORD-0010673,CUST-002647,2024-07-02,Delivered,Web,New Robertton,MI
ORD-0002545,CUST-001972,2025-10-10,Processing,Marketplace,North Lindsay,MI
ORD-0000676,CUST-002940,2026-04-13,Returned,Marketplace,Florestown,NC
ORD-0008098,CUST-002851,2026-05-13,Returned,Web,Markland,MI
ORD-0005255,CUST-001125,2025-07-24,Processing,Web,Hollowayville,WA
ORD-0009447,CUST-000668,2026-07-02,Delivered,Marketplace,Laurafort,OH
ORD-0003240,CUST-002562,2026-01-27,Placed,Web,Jennifertown,TX
ORD-0007018,CUST-001541,26-Feb-2026,Processing,Web,Sarahfort,NC
ORD-0004045,CUST-000398,2025-05-25,Shipped,Marketplace,Lake Mauricechester,GA
ORD-0010578,CUST-001676,2026-07-31,Delivered,Web,South Kathleen,TX
ORD-0001634,CUST-001386,2026-03-23,Placed,Mobile App,Timothyview,OH
ORD-0006143,CUST-000306,2026-06-12,Delivered,Web,Lake Jakeberg,WA
ORD-0007170,CUST-001525,2026-07-25,Processing,Mobile App,Diazland,WA
ORD-0006120,CUST-000942,2026-05-24,Placed,Web,Smithbury,GA
ORD-0002222,CUST-002501,2026-04-14,Processing,Web,Smithhaven,IL
ORD-0009065,CUST-001581,2026-06-20,Delivered,Marketplace,South Juliefurt,MI
ORD-0008086,CUST-000994,2025-09-17,Returned,Marketplace,Dorothymouth,MI
ORD-0000016,CUST-002104,2026-08-07,Cancelled,Web,West Johnton,AZ
ORD-0008451,CUST-000316,2026-08-08,Processing,Web,South Janetchester,PA
ORD-0011060,CUST-001316,2026-04-23,Shipped,Web,North Christopherchester,OH
ORD-0004472,CUST-000394,2025-08-18,Shipped,Web,Port Jamesville,FL
ORD-0009974,CUST-001202,2026-04-15,Delivered,Mobile App,Chavezhaven,NC
ORD-0006521,CUST-002001,2026-06-14,Cancelled,Marketplace,Andersonview,OH
ORD-0003192,CUST-001611,2026-08-14,Shipped,Marketplace,West Yvette,TX
ORD-0000667,CUST-000809,2026-02-02,shipped,Web,North Michael,FL
ORD-0009845,CUST-002502,12-Jan-2025,Shipped,Mobile App,West Stephenberg,NY
ORD-0003805,CUST-001537,2024-12-22,Cancelled,Mobile App,,WA
ORD-0010283,CUST-002612,2025-05-15,Delivered,Web,East Alexaside,IL
ORD-0001348,CUST-002566,2026-06-06,Delivered,Mobile App,,CA
ORD-0006766,CUST-001115,2026-01-24,Processing,Mobile App,Andersonton,WA
ORD-0004511,CUST-001829,2026-07-19,Processing,Marketplace,Vincentside,NC
ORD-0001997,CUST-001840,2026-07-17,Delivered,Web,Brockmouth,CA
ORD-0008547,CUST-002492,2025-10-30,Delivered,Mobile App,Waltonton,IL
ORD-0009654,CUST-002196,2026-08-12,Cancelled,In-Store,North Christopherburgh,NY
ORD-0003875,CUST-000140,2026-01-25,Delivered,Web,Mccartyhaven,MI
ORD-0000571,CUST-002552,2024-12-20,dELIVERED,Mobile App,Wendybury,WA
ORD-0000086,CUST-000851,2026-04-05,Delivered,Marketplace,Port Jimmy,PA
ORD-0011701,CUST-000113,2026-08-07,Returned,Marketplace,Andersonstad,NY
ORD-0005061,CUST-001800,2025-07-27,Processing,Mobile App,South Maxview,WA
ORD-0009773,CUST-925552,2026-09-01,Delivered,Web,Hammondfort,PA
ORD-0010695,CUST-002705,2026-04-22,Delivered,Mobile App,South Josephmouth,CA
ORD-0005347,CUST-002403,2025-04-03,Placed,In-Store,South Desireetown,MI
ORD-0006453,CUST-000605,2026-08-28,Delivered,Marketplace,Griffinview,IL
ORD-0011293,CUST-002130,2025-09-14,Delivered,Web,South Morganberg,FL
ORD-0000223,CUST-000932,2025-12-26,Processing,Mobile App,North Travisview,CA
ORD-0002506,CUST-002190,18-Nov-2024,Delivered,Mobile App,West Greggborough,CA
ORD-0009322,CUST-000840,2026-06-12,Delivered,Mobile App,South Danaport,CA
ORD-0004612,CUST-000003,2024-09-19,Delivered,Web,Port Joshuamouth,NC
ORD-0000139,CUST-000830,2026-07-21,Delivered,Web,,WA
ORD-0005215,CUST-000699,2025-06-20,Delivered,Mobile App,Sandramouth,GA
ORD-0006334,CUST-001521,2026-08-29,Delivered,Web,Tylerside,IL
ORD-0000080,CUST-001428,2026-06-01,Processing,In-Store,Gonzalezland,WA
ORD-0010435,CUST-001396,2026-06-27,Delivered,Web,New Robert,TX
ORD-0000010,CUST-000711,2026-09-01,processing,In-Store,New Jasmin,FL
ORD-0001767,CUST-002932,2025-05-31,Processing,Mobile App,Suzanneside,NY
ORD-0008805,CUST-000830,2026-02-26,Cancelled,Mobile App,West Elizabeth,GA
ORD-0004456,CUST-002334,2026-03-14,Delivered,Mobile App,Lake Tommy,TX
ORD-0011327,CUST-000760,2025-02-16,Placed,Web,Kathleenhaven,CA
ORD-0006187,CUST-002590,2026-09-05,returned,Mobile App,Christopherfurt,CA
ORD-0008670,CUST-001366,2026-03-05,Returned,Mobile App,Port Jamesmouth,CA
ORD-0007246,CUST-000271,2026-01-07,Placed,Mobile App,Jamesmouth,PA
ORD-0004530,CUST-001439,2024-09-07,Returned,Web,,FL
ORD-0005749,CUST-000669,2026-05-02,Shipped,Marketplace,Riveraland,GA
ORD-0003973,CUST-001065,2026-05-03,Processing,Mobile App,North Amyland,GA
ORD-0000691,CUST-000751,2026-08-30,Delivered,In-Store,Hebertport,CA
ORD-0010005,CUST-000130,2024-12-22,Shipped,Web,Port Alyssatown,GA
ORD-0011406,CUST-000185,2025-03-13,Shipped,Mobile App,Smithland,IL
ORD-0007848,,2026-01-30,Delivered,Web,Shawnfort,TX
ORD-0008570,CUST-000491,2026-01-02,Processing,In-Store,Erikashire,OH
ORD-0001778,CUST-001713,2025-08-01,Shipped,Mobile App,North Janet,PA
ORD-0005219,CUST-002033,2024-11-13,Shipped,Web,North Juantown,WA
ORD-0000549,CUST-000988,2026-05-19,Delivered,Marketplace,New Jameschester,NC
ORD-0000340,CUST-000492,2026-01-29,Shipped,Marketplace,Michaelville,PA
ORD-0005521,CUST-001273,2026-05-18,Shipped,Mobile App,Webstermouth,PA
ORD-0011194,CUST-000276,2025-08-06,Delivered,Mobile App,North Bruceshire,GA
ORD-0000598,CUST-002743,07/06/2026,Placed,Web,Leehaven,NY
ORD-0003973,CUST-001065,2026-05-03,Processing,Mobile App,North Amyland,GA
ORD-0008306,CUST-000203,2025-07-22,Delivered,In-Store,Kellyville,MI
ORD-0006713,CUST-000866,2026-06-24,Delivered,Mobile App,New Whitneyfort,PA
ORD-0008621,CUST-001634,2025-12-06,Delivered,Web,,TX
ORD-0002654,CUST-000586,2025-06-18,Placed,Web,Brendaville,TX
ORD-0006283,CUST-002209,2026-03-16,Delivered,Mobile App,Laurentown,CA
ORD-0010108,CUST-000502,2026-05-24,Placed,Marketplace,Maryview,NC
ORD-0002163,CUST-002962,2026-08-24,Shipped,Web,,PA
ORD-0009013,CUST-000821,2026-08-17,Processing,Mobile App,North Samanthaland,GA
ORD-0002598,CUST-000049,26-Jun-2024,Processing,Web,East Dawnmouth,TX
ORD-0000611,CUST-001081,2025-09-25,Cancelled,Web,West Kevin,WA
ORD-0003399,CUST-000666,2025-09-08,Cancelled,Web,Hillbury,PA
ORD-0010763,CUST-001844,2026-08-05,Delivered,Marketplace,Michaelbury,WA
ORD-0009009,CUST-002036,2026-05-13,Processing,Mobile App,Denisebury,AZ
ORD-0001858,CUST-000420,2026-01-11,Delivered,Web,Maryland,FL
ORD-0006111,CUST-000002,11/20/2024,Placed,Web,New Ryanstad,NY
ORD-0001061,CUST-001374,2025-03-14,Delivered,Web,Jamesburgh,GA
ORD-0004584,CUST-001119,2025-11-27,Returned,In-Store,Lauraview,CA
ORD-0006994,CUST-002238,2026-03-19,Delivered,Web,East Robertburgh,MI
ORD-0005827,CUST-001115,2026-07-10,Cancelled,Mobile App,West Reginaton,TX
ORD-0008657,CUST-001132,2026-04-25,Cancelled,Marketplace,Paulfurt,PA
ORD-0002677,CUST-002861,2026-04-28,Delivered,Mobile App,West Johntown,TX
ORD-0001871,CUST-001680,2026-07-28,Delivered,Web,Phamborough,GA
ORD-0009239,CUST-000793,2026-05-20,Shipped,Web,Brownbury,TX
ORD-0004847,CUST-002249,2026-08-12,Cancelled,Mobile App,Teresastad,CA
ORD-0003480,CUST-001417,2026-04-14,Returned,Marketplace,East Donald,TX
ORD-0005748,CUST-002874,2026-02-20,processing,Mobile App,North Amberfurt,NY
ORD-0006116,CUST-001812,2026-05-19,Shipped,Marketplace,Douglasshire,GA
ORD-0004696,CUST-001570,2025-09-11,Delivered,Mobile App,Wardview,TX
ORD-0008021,CUST-001468,2026-09-01,Shipped,Mobile App,Lake Molly,WA
ORD-0006063,CUST-000641,2026-06-19,Delivered,Mobile App,Anthonystad,OH
ORD-0005333,CUST-002343,2026-08-16,Processing,Marketplace,Jenniferton,FL
ORD-0010977,CUST-001808,2025-07-19,Processing,Web,Lake Emilyfort,TX
ORD-0000703,CUST-001636,2025-11-30,Cancelled,Web,Jenniferbury,MI
ORD-0001151,CUST-981964,2024-12-09,Shipped,Marketplace,West Patrickside,GA
ORD-0009183,CUST-001831,2025-06-01,Shipped,Marketplace,East Denise,IL
ORD-0005447,CUST-002673,2026-01-31,Delivered,In-Store,West Bryceside,MI
ORD-0001131,CUST-001820,2026-08-25,Delivered,Mobile App,North Matthew,CA
ORD-0003820,CUST-000694,2026-07-19,Shipped,Mobile App,Stevenhaven,CA
ORD-0002755,CUST-002262,2026-08-01,Placed,Marketplace,Catherineland,NC
ORD-0008518,CUST-001756,2026-07-17,Shipped,Mobile App,Lake Mario,MI
ORD-0010710,CUST-000081,2026-01-23,Shipped,In-Store,Lake Phillip,GA
ORD-0007945,CUST-001908,2026-08-25,Returned,Mobile App,Cynthiamouth,MI
ORD-0007092,CUST-002739,2024-08-27,Shipped,Mobile App,Port Peterbury,TX
ORD-0001693,,12/12/2025,Delivered,Mobile App,,AZ
ORD-0000941,CUST-002049,2026-08-26,Processing,Web,Lake Heatherview,NY
ORD-0003764,CUST-000155,2026-01-23,Processing,Marketplace,Deckerland,TX
ORD-0005304,CUST-002796,2025-03-25,Shipped,Web,Taylorton,CA
ORD-0006003,CUST-001898,2026-03-13,Delivered,In-Store,West Alicia,WA
ORD-0006010,CUST-001868,2025-06-01,Cancelled,Web,Suzanneport,GA
ORD-0003845,CUST-000521,2026-09-02,Cancelled,In-Store,West Brian,MI
ORD-0007664,CUST-001102,2026-05-13,Delivered,Web,Floreshaven,AZ
ORD-0003824,CUST-000127,2025-08-03,cancelled,Mobile App,South Jill,PA
ORD-0011411,CUST-000094,2025-07-02,delivered,Mobile App,West Cynthia,IL
ORD-0000013,CUST-002865,2026-05-23,Delivered,Mobile App,Danielborough,WA
ORD-0004919,CUST-000541,2025-08-22,Delivered,Mobile App,,TX
ORD-0006208,CUST-000968,01/07/2024,Delivered,Marketplace,East Lisa,WA
ORD-0004046,CUST-001740,2026-08-03,Delivered,In-Store,Mitchellshire,TX
ORD-0005805,CUST-001217,2025-07-30,Processing,In-Store,Zunigaton,CA
ORD-0001479,CUST-000095,"July 25, 2026",Delivered,Marketplace,Spenceshire,IL
ORD-0009981,CUST-002404,2026-03-10,Placed,In-Store,Jeremyburgh,CA
ORD-0007823,CUST-000396,2025-01-07,Placed,Web,Port Elizabethshire,NY
ORD-0002319,CUST-002808,2026-02-22,Delivered,Mobile App,Lake Staceyview,WA
ORD-0008056,CUST-000653,2024-10-15,Processing,Web,Port John,MI
ORD-0010573,CUST-001681,2026-08-29,SHIPPED,Mobile App,Angieshire,TX
