order_item_id,order_id,product_id,quantity,unit_price,discount_pct
OI-0009289,ORD-0004951,PROD-00150,4,160.25,0.15
OI-0000985,ORD-0000530,PROD-00036,1,92.38,0.0
OI-0003586,ORD-0001930,PROD-00228,5,328.99,0.0
OI-0018046,ORD-0009631,PROD-00127,1,44.44,0.0
OI-0011247,ORD-0005995,PROD-00087,4,618.82,0.0
OI-0001108,ORD-0000598,PROD-00284,1,18762.62,0.1
OI-0005305,ORD-0002838,PROD-00104,1,714.8,0.1
OI-0012404,ORD-0006638,PROD-00044,1,316.96,0.1
OI-0006771,ORD-0003618,PROD-00194,5,761.5,0.05
OI-0015987,ORD-0008525,PROD-00224,2,132.12,0.1
OI-0020227,ORD-0010800,PROD-00101,2,106.7,0.0
OI-0001959,ORD-0001063,PROD-00230,4,409.22,0.05
OI-0004039,ORD-0002158,PROD-00109,2,709.37,0.0
OI-0003294,ORD-0001772,PROD-00028,5,348.73,0.0
OI-0003312,ORD-0001785,PROD-00121,1,430.47,0.0
OI-0001098,ORD-0000593,PROD-00178,1,97.74,0.0
OI-0006112,ORD-0003272,PROD-00082,1,180.59,0.05
OI-0004639,ORD-0002489,PROD-00100,1,-131.69,0.0
OI-0003713,ORD-0001993,PROD-00127,2,45.32,0.0
OI-0002174,ORD-0001177,PROD-00012,3,279.85,0.0
OI-0007797,ORD-0004167,PROD-00137,1,433.79,0.0
OI-0008219,ORD-0004388,PROD-00172,5,342.6,0.15
OI-0002794,ORD-0001498,PROD-00103,4,3294.25,0.0
OI-0020617,ORD-0011010,PROD-00060,3,631.41,0.0
OI-0008850,ORD-0004720,PROD-00199,2,468.54,0.0
OI-0011301,ORD-0006026,PROD-00096,3,695.8,0.0
OI-0021069,ORD-0011260,PROD-00194,1,730.18,0.0
OI-0011430,ORD-0006096,PROD-00045,1,262.37,0.1
OI-0007308,ORD-0003903,PROD-00196,2,308.99,0.0
OI-0021071,ORD-0011262,PROD-00266,2,12.72,0.0
OI-0003941,ORD-0002105,PROD-00188,4,381.51,0.0
OI-0013493,ORD-0007216,PROD-00023,1,412.13,0.0
OI-0006195,ORD-0003310,PROD-00140,5,139.69,0.0
OI-0006798,ORD-0003634,PROD-00150,1,147.3,0.0
OI-0013549,ORD-0007249,PROD-00120,3,261.44,0.0
OI-0006810,ORD-0003642,PROD-00156,2,150.36,0.0
OI-0018308,ORD-0009775,PROD-00285,5,201.73,0.0
OI-0020333,ORD-0010852,PROD-00108,4,97.6,0.0
OI-0005092,ORD-0002721,PROD-00166,2,530.75,0.0
OI-0010793,ORD-0005754,PROD-00055,3,408.79,0.05
OI-0014863,ORD-0007942,PROD-00056,1,177.97,0.0
OI-0005445,ORD-0002911,PROD-00189,4,669.84,0.05
OI-0011872,ORD-0006343,PROD-00210,1,609.27,0.2
OI-0004647,ORD-0002493,PROD-00222,3,712.02,0.1
OI-0005326,ORD-0002847,PROD-952657,2,730.71,0.0
OI-0021836,ORD-0011661,PROD-00082,2,167.68,0.0
OI-0014151,ORD-0007564,PROD-00076,2,372.45,0.0
OI-0017159,ORD-0933096,PROD-00188,1,374.31,0.0
OI-0005050,ORD-0002699,PROD-00023,2,419.04,0.15
OI-0003486,ORD-0001877,PROD-00228,2,318.28,0.0
OI-0002695,ORD-0001451,PROD-00131,1,237.12,0.0
OI-0017312,ORD-0009240,PROD-00135,1,434.13,0.0
OI-0013123,ORD-0007021,PROD-00049,2,267.83,0.05
OI-0006831,ORD-0003655,PROD-00137,2,445.19,0.0
OI-0007997,ORD-0004278,PROD-00217,n/a,268.92,0.1
OI-0009335,ORD-0004974,PROD-00111,1,830.8,0.0
OI-0013791,ORD-0007374,PROD-00166,1,508.95,0.0
OI-0006184,ORD-0003304,PROD-00060,1,619.16,0.1
OI-0019782,ORD-0010555,PROD-00174,2,610.72,0.0
OI-0019642,ORD-0010485,PROD-00298,2,516.27,0.0
OI-0007112,ORD-0003794,PROD-00280,5,419.11,0.15
OI-0010270,ORD-0005472,PROD-00188,1,363.81,0.0
OI-0018169,ORD-0009694,PROD-00155,2,570.11,0.0
OI-0022349,ORD-0011928,PROD-00189,3,637.17,0.2
OI-0009246,ORD-0004929,PROD-00010,2,182.56,0.0
OI-0006002,ORD-0003206,PROD-00105,1,192.65,0.0
OI-0021262,ORD-0011363,PROD-00286,4,624.37,0.0
OI-0018752,ORD-0010010,PROD-00267,1,677.43,0.0
OI-0003350,ORD-0001806,PROD-00097,3,579.83,0.0
OI-0019423,ORD-0010367,PROD-00058,1,416.33,0.0
OI-0001633,ORD-0000883,PROD-00023,1,393.67,0.0
OI-0001136,ORD-0000617,PROD-00284,2.27,274.17,0.0
OI-0001823,ORD-0000987,PROD-00202,2,603.59,0.0
OI-0013303,ORD-0007114,PROD-00276,4,null,0.05
OI-0005404,ORD-0002888,PROD-00121,2,449.2,0.0
OI-0004365,ORD-0002335,PROD-00062,2,92.07abc,0.1
OI-0018062,ORD-0009638,PROD-00232,1,116.07,0.0
OI-0003753,ORD-0002015,PROD-00115,1,581.01,0.1
OI-0013407,ORD-0007170,PROD-00174,2,625.89,0.0
OI-0020894,ORD-0011167,PROD-00123,1,$613.38,0.0
OI-0007451,ORD-0003983,PROD-00177,2,299.17,0.15
OI-0008462,ORD-0004518,PROD-914022,2,95.51,0.05
OI-0000572,ORD-0000311,PROD-00050,2,118.31,0.0
OI-0005958,ORD-0003183,PROD-00172,5,349.57,0.0
OI-0008190,ORD-0004374,PROD-00288,3,479.01,0.0
OI-0009237,ORD-0004924,PROD-00176,1,623.1,0.0
OI-0009939,ORD-0005288,PROD-00169,2,374.82,0.0
OI-0002805,ORD-0001507,PROD-00063,5,368.91,0.0
OI-0012476,ORD-0006675,PROD-00019,5,12071.75,0.0
OI-0003401,ORD-0001832,PROD-00039,1,212.54,0.0
OI-0009793,ORD-0005218,PROD-00042,2,504.77,0.0
OI-0002656,ORD-0001430,PROD-00055,1,427.35,0.2
OI-0014807,ORD-0007909,PROD-00247,1,531.0,0.05
OI-0019942,ORD-0010643,PROD-00271,1,784.3,0.1
OI-0021656,ORD-0011562,PROD-00240,1,398.32,0.0
OI-0017050,ORD-0009095,PROD-00127,5,46.1,0.1
OI-0009858,ORD-0005248,PROD-00280,1.99,450.99,0.0
OI-0019514,ORD-0010412,PROD-00065,2,87.6,0.0
OI-0017336,ORD-0009252,PROD-00202,5,590.09,0.0
OI-0022449,ORD-0011985,PROD-00032,3,195.64,0.0
OI-0017820,ORD-0009509,PROD-00231,2,547.76,0.0
OI-0002412,ORD-0001301,PROD-00028,4,324.53,0.0
OI-0017000,ORD-0009069,PROD-00141,4,213.2,0.0
OI-0013989,ORD-0007486,PROD-00172,5,356.82,0.0
OI-0011899,ORD-0006358,PROD-00089,1,293.56,0.1
OI-0014383,ORD-0007679,PROD-00267,2,718.9,0.0
OI-0012297,ORD-0006578,PROD-00180,5,690.15,0.0
OI-0004880,ORD-0002610,PROD-00275,2,207.72,0.15
OI-0010143,ORD-0005404,PROD-00030,5,134.17,0.05
OI-0006534,ORD-0003496,PROD-00152,5,103.0,0.15
OI-0018262,ORD-0009747,PROD-00160,1,612.13,0.2
OI-0010454,ORD-0005570,PROD-00055,5,412.42,0.0
OI-0020558,ORD-0010974,PROD-00185,5,543.39,0.05
OI-0021150,ORD-0011308,PROD-00153,1,14.72,0.15
OI-0010652,ORD-0005680,PROD-00183,5,506.99,0.15
OI-0018031,ORD-0009622,PROD-00170,5,484.59,0.2
OI-0011464,ORD-0006117,PROD-00082,3,178.86,0.2
OI-0009478,ORD-0005050,PROD-00217,1,263.47,0.0
OI-0000465,ORD-0000251,PROD-00111,2,821.53,0.0
OI-0017468,ORD-0009317,PROD-00069,1,17.79,0.0
OI-0007133,ORD-0003807,PROD-00109,2,711.25,0.0
OI-0016696,ORD-0008901,PROD-00223,1,534.17,0.0
OI-0016922,ORD-0009030,PROD-00043,2,675.04,0.05
OI-0011363,ORD-0006061,PROD-00231,5,559.73,0.0
OI-0022014,ORD-0011757,PROD-00030,1,131.33,0.05
OI-0009555,ORD-0005088,PROD-00091,1,?,0.0
OI-0015020,ORD-0008025,PROD-00296,1,$390.99,0.0
OI-0003499,ORD-0001885,PROD-00234,3,557.52,0.0
OI-0002643,ORD-0001422,PROD-00021,4,32.87,0.05
OI-0011894,ORD-0006356,PROD-00047,2,23429.19,0.0
OI-0011855,ORD-0006335,PROD-00214,2.81,253.54,0.05
OI-0008115,ORD-0004337,PROD-00284,2,281.62,0.0
OI-0003160,ORD-0001704,PROD-00093,1,unknown,0.0
OI-0013572,ORD-0007263,PROD-00102,1,718.03abc,0.0
OI-0004190,ORD-0002243,PROD-00036,2,91.68,0.0
OI-0004851,ORD-0002595,PROD-00266,2,13.24,0.1
OI-0022409,ORD-0011966,PROD-00275,3,212.93,0.0
OI-0002624,ORD-0001416,PROD-00190,1,660.91,0.15
OI-0015800,ORD-0008429,PROD-00147,3,133.64,0.2
OI-0004914,ORD-0002631,PROD-00098,1abc,117.29,0.0
OI-0002618,ORD-0001412,PROD-00078,3,427.83,0.1
OI-0005143,ORD-0002750,PROD-00126,5,262.14,0.2
OI-0009288,ORD-0004950,PROD-00159,1,540.04,0.0
OI-0009183,ORD-0004897,PROD-00011,2,11.68,0.0
OI-0006491,ORD-0003469,PROD-00263,5,290.09,0.0
OI-0020291,ORD-0010835,PROD-00122,2,56176.75,0.05
OI-0021419,ORD-0011442,PROD-00217,1,280.14,0.05
OI-0013201,ORD-0007061,PROD-00280,2,450.93,0.1
OI-0011584,ORD-0006186,PROD-00125,2,320.44,0.0
OI-0007401,ORD-0003956,PROD-00059,2,151.69,0.0
OI-0010102,ORD-0005378,PROD-00274,1,675.63,0.05
OI-0016123,ORD-0008601,PROD-00283,1,219.4,0.1
OI-0000657,ORD-0000356,PROD-00168,1,585.34,0.0
OI-0004641,ORD-0002489,PROD-00224,2,127.81,0.0
OI-0016842,ORD-0008989,PROD-00230,2,419.1,0.0
OI-0014113,ORD-0007543,PROD-00177,1,306.79,0.05
OI-0018908,ORD-0010096,PROD-00232,4,113.21,0.05
OI-0010924,ORD-0005822,PROD-00158,1,594.01,0.0
OI-0015906,ORD-0008484,PROD-00291,1.0,371.25,0.15
OI-0017768,ORD-0009481,PROD-00139,2,50.26,0.0
OI-0012125,ORD-0006484,PROD-00261,1,116.4abc,0.0
OI-0015599,ORD-0008318,PROD-00053,2,431.99,0.05
OI-0021557,ORD-0011516,PROD-00197,2,391.3,0.0
OI-0002289,ORD-0001237,PROD-00079,1,133.48,0.0
OI-0000603,ORD-0000327,PROD-00253,5,293.18,0.0
OI-0020857,ORD-0011145,PROD-00261,1,116.24,0.0
OI-0001874,ORD-0001017,PROD-00234,2,605.25,0.1
OI-0003397,ORD-0001829,PROD-00013,4,368.97,0.0
OI-0017276,ORD-0009220,PROD-00080,3,536.81,0.2
OI-0018297,ORD-0009768,PROD-00099,1.1,112.07,0.0
OI-0004449,ORD-0002383,PROD-00008,5,119.39,0.15
OI-0006601,ORD-0003531,PROD-00088,4,625.58,0.0
OI-0004439,ORD-0002374,PROD-00099,2,111.98,0.0
OI-0015681,ORD-0008361,PROD-00072,2,425.5,0.0
OI-0008650,ORD-0004620,PROD-00121,1,422.74,0.0
OI-0008874,ORD-0004732,PROD-00096,1,718.37,0.0
OI-0003813,ORD-0002044,PROD-00130,1,389.1,0.0
OI-0013875,ORD-0007423,PROD-00154,2,115.1,0.0
OI-0022077,ORD-0011789,PROD-00038,1,637.5,0.0
OI-0014304,ORD-0007638,PROD-00016,1,250.58,0.2
OI-0012317,ORD-0006587,PROD-00017,2abc,655.56,0.15
OI-0020601,ORD-0011001,PROD-00130,2,unknown,0.1
OI-0014686,ORD-0007837,PROD-00081,2,345.0,0.0
OI-0014267,ORD-0007623,PROD-00227,-5.0,725.38,0.0
OI-0012931,ORD-0006917,PROD-00066,1,78.96,0.05
OI-0003150,ORD-0001697,PROD-00298,2,511.51,0.0
OI-0007034,ORD-0003756,PROD-00045,1,262.11,0.0
OI-0004912,ORD-0986665,PROD-00024,5,616.4,0.0
OI-0004164,ORD-0002227,PROD-00074,0.84,38865.86,0.0
OI-0019126,ORD-0010218,PROD-00187,1,88.6,0.0
OI-0013161,ORD-0007039,PROD-00167,1,669.71,0.0
OI-0005022,ORD-0002683,PROD-00207,2abc,294.86,0.0
OI-0006141,ORD-0003283,PROD-00080,2,541.74,0.0
OI-0019322,ORD-0010318,PROD-00188,2,361.01,0.0
OI-0013510,ORD-0007225,PROD-00033,1,79.87,0.0
OI-0008746,ORD-0004667,PROD-00071,4,195.3,0.0
OI-0001880,ORD-0001021,PROD-00047,5,614.87,0.05
OI-0014270,ORD-0007624,PROD-00136,1,244.85,0.0
OI-0019615,ORD-0010471,PROD-00194,null,736.05,0.0
OI-0019568,ORD-0010443,PROD-00271,1,743.45,0.05
OI-0004031,ORD-0002152,PROD-00102,1,689.51,0.2
OI-0009430,ORD-0005025,PROD-00128,3,510.21,0.05
OI-0019537,ORD-0010425,PROD-00224,2,125.33,0.0
OI-0001145,ORD-0000621,PROD-00185,2,531.78,0.0
OI-0001613,ORD-0000873,PROD-00040,$1,27.26,0.0
OI-0011780,ORD-0006292,PROD-00194,1,722.87,0.05
OI-0021813,ORD-0011645,PROD-00188,3,373.48,0.0
OI-0020411,ORD-0010893,PROD-00015,1,495.31,0.0
OI-0016614,ORD-0008863,PROD-00146,3,541.09,0.0
OI-0008402,ORD-0004482,PROD-00155,2,524.95,0.0
OI-0022247,ORD-0011871,PROD-00192,1,604.71,0.0
OI-0008272,ORD-0004418,PROD-00034,1,174.16,0.0
OI-0002388,ORD-0001289,PROD-00198,5,585.07,0.0
OI-0003554,ORD-0001914,PROD-00122,1,592.6,0.2
OI-0019536,ORD-0010424,PROD-00044,4,306.15,0.15
OI-0016763,ORD-0965978,PROD-00248,4,37.77,0.1
OI-0012482,ORD-0911085,PROD-00091,1,471.74,0.0
OI-0018397,ORD-0009825,PROD-00297,5,252.34,0.0
OI-0017802,ORD-0009501,PROD-00206,2,724.33,0.0
OI-0017736,ORD-0009463,PROD-00076,5,373.33,0.0
OI-0021636,ORD-0011554,PROD-00099,4,108.97,0.0
OI-0011053,ORD-0005887,PROD-00075,1,-421.12,0.05
OI-0003432,ORD-0001849,PROD-00192,3,570.7,0.0
OI-0016544,ORD-0008829,PROD-00257,2,414.86,0.0
OI-0007483,ORD-0003998,PROD-00212,2,53.09,0.05
OI-0005349,ORD-0002857,PROD-00031,1.04,307.04,0.0
OI-0000795,ORD-0000428,PROD-00193,1,262.01,0.0
OI-0003319,ORD-0001788,PROD-00125,2,319.98,0.0
OI-0019618,ORD-0010472,PROD-00276,3,218.26,0.0
OI-0013171,ORD-0007045,PROD-00159,2,526.26,0.0
OI-0013109,ORD-0007015,PROD-00162,3.24,56.51,0.05
OI-0001984,ORD-0001079,PROD-00257,2,N/A,0.0
OI-0002545,ORD-0001373,PROD-00101,4,108.2,0.0
OI-0020640,ORD-0011023,PROD-00102,2,682.37,0.0
OI-0008669,ORD-0004629,PROD-00105,2,190.03,0.1
OI-0014268,ORD-0007623,PROD-00030,3,130.72,0.0
OI-0001038,ORD-0000563,PROD-00120,1,269.65,0.0
OI-0005519,ORD-0002951,PROD-00133,2,56.37,0.0
OI-0020698,ORD-0011058,PROD-00001,1,95.09,0.0
OI-0000011,ORD-0000006,PROD-00110,5,291.79,0.0
OI-0002232,ORD-0001210,PROD-00024,5,$599.87,0.0
OI-0020243,ORD-0010808,PROD-00103,2,117.33,0.15
OI-0012242,ORD-0006548,PROD-00299,1,450.11,0.0
OI-0010377,ORD-0005531,PROD-00020,1,209.79,0.0
OI-0017492,ORD-0009332,PROD-00150,2,148.96,0.0
OI-0010146,ORD-0005407,PROD-00202,3,593.72,0.0
OI-0005408,ORD-0002891,PROD-00020,5,199.91,0.0
OI-0020147,ORD-0010751,PROD-00021,3,31.76,0.15
OI-0004397,ORD-0002353,PROD-983804,2,277.81,0.0
OI-0005604,ORD-0002998,PROD-00218,4,498.74,0.0
OI-0019500,ORD-0010405,PROD-00036,4,90.73,0.0
OI-0010100,ORD-0005377,PROD-00064,1,331.82,0.0
OI-0018381,ORD-0009816,PROD-00142,2,557.74abc,0.0
OI-0009685,ORD-0005156,PROD-00075,3,408.42,0.0
OI-0004953,ORD-0002650,PROD-00023,3,383.7,0.05
OI-0020911,ORD-0011175,PROD-00242,1,434.09,0.0
OI-0004999,ORD-0002674,PROD-00153,1,15.11,0.0
OI-0014624,ORD-0007803,PROD-00199,1,478.63,0.1
OI-0010057,ORD-0005354,PROD-00010,5,176.39,0.0
OI-0015630,ORD-0008331,PROD-00084,2,414.94,0.0
OI-0005909,ORD-0003159,PROD-00160,1,616.11,0.1
OI-0016059,ORD-0008564,PROD-00199,1,469.76,0.0
OI-0004072,ORD-0002175,PROD-00289,2,516.65,0.1
OI-0020734,ORD-0011076,PROD-00193,3,265.29,0.0
OI-0005854,ORD-0003128,PROD-00059,2,156.18,0.0
OI-0014796,ORD-0007902,PROD-00132,1,659.66,0.05
OI-0012485,ORD-0006681,PROD-00146,5,549.71,0.0
OI-0001414,ORD-0000765,PROD-00052,4,501.75,0.0
OI-0018109,ORD-0009662,PROD-00008,1,123.32,0.1
OI-0000434,ORD-0000236,PROD-00137,2,450.75,0.0
OI-0017113,ORD-0009133,PROD-904351,4abc,25.42,0.0
OI-0018426,ORD-0009841,PROD-00292,1,373.32,0.0
OI-0008196,ORD-0004377,PROD-00224,4,133.26,0.0
OI-0006855,ORD-0003670,PROD-00236,$1,408.89,0.2
OI-0012708,ORD-0006795,PROD-00239,2,528.64,0.0
OI-0014416,ORD-0007700,PROD-00136,1,249.39,0.0
OI-0008352,ORD-0924570,PROD-00109,3,708.54,0.0
OI-0014915,ORD-0007975,PROD-00065,1,86.49,0.0
OI-0007142,ORD-0003812,PROD-00148,5,338.5,0.0
OI-0017684,ORD-0009438,PROD-00075,2,436.31,0.0
OI-0021921,ORD-0011706,PROD-907839,5,245.5,0.0
OI-0007504,ORD-0004011,PROD-00216,null,510.59,0.0
OI-0006727,ORD-0003594,PROD-00226,1.86,473.32,0.0
OI-0015291,ORD-0008157,PROD-00233,3,607.03,0.0
OI-0011327,ORD-0006041,PROD-00197,1,378.95,0.0
OI-0003956,ORD-0002113,PROD-00274,4,664.94,0.0
OI-0003371,ORD-0001815,PROD-00260,1,735.14,0.0
OI-0019932,ORD-0981829,PROD-00112,1,140.0,0.05
OI-0007657,ORD-0004092,PROD-00056,1,173.17,0.0
OI-0018917,ORD-0010099,PROD-00004,5,373.2,0.0
OI-0019412,ORD-0010362,PROD-00246,1,621.49,0.0
OI-0005081,ORD-0990229,PROD-00161,3,508.8,0.0
OI-0014142,ORD-0007558,PROD-00010,1,175.08,0.0
OI-0001976,ORD-0001073,PROD-00162,3,61.87,0.0
OI-0013377,ORD-0007150,PROD-00263,1,297.13,0.0
OI-0011435,ORD-0006099,PROD-00219,5,224.49,0.0
OI-0009734,ORD-0005184,PROD-00132,5,646.53,0.05
OI-0016522,ORD-0008819,PROD-00049,5,254.55abc,0.0
OI-0011612,ORD-0006198,PROD-00249,-1.0,450.02,0.0
OI-0002742,ORD-0001475,PROD-00022,4,618.62,0.0
OI-0005102,ORD-0002726,PROD-00100,3,129.51,0.0
OI-0006402,ORD-0003419,PROD-00014,1,119.59,0.1
OI-0011458,ORD-0006114,PROD-00104,3,772.1,0.0
OI-0003988,ORD-0002129,PROD-00024,1,612.23,0.0
OI-0011212,ORD-0005974,PROD-00194,1,778.46,0.0
OI-0007334,ORD-0003919,PROD-00177,2,295.22,0.1
OI-0014250,ORD-0007615,PROD-00195,2,386.24,0.1
OI-0002401,ORD-0001296,PROD-00267,5.68,711.82,0.05
OI-0021158,ORD-0011311,PROD-00101,2,106.22,0.0
OI-0017241,ORD-0009201,PROD-00187,3,88.1,0.0
OI-0010304,ORD-0005492,PROD-00086,1,871.04,0.0
OI-0004628,ORD-0002482,PROD-00195,2,397.56,0.0
OI-0008072,ORD-0004318,PROD-00223,4,539.1,0.0
OI-0014313,ORD-0007641,PROD-00116,5abc,27508.98,0.0
OI-0021264,ORD-0011363,PROD-00046,2,477.08,0.0
OI-0022348,ORD-0011927,PROD-00218,1,475.39,0.1
OI-0017032,ORD-0009085,PROD-00221,2,444.7,0.0
OI-0006295,ORD-0003357,PROD-00156,5,138.67,0.05
OI-0013137,ORD-0007030,PROD-00139,1,50.81,0.0
OI-0002850,ORD-0001529,PROD-00045,2,243.28,0.0
OI-0015021,ORD-0008026,PROD-00046,1,468.67,0.0
