inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,supplier_name,last_restock_date
INV-000121,PROD-00120,WH-EAST-01,462,17,"Willis, Livingston and Young",2026-01-04
INV-000149,PROD-00109,WH-EAST-01,353,31,Harmon and Sons,"July 05, 2026"
INV-000195,PROD-00084,WH-WEST-02,313,69,Hill Group,2025-10-08
INV-000176,PROD-00190,WH-SOUTH-04,173,45,"Vasquez, Gonzalez and Day",2026-08-15
INV-000283,PROD-00100,WH-WEST-02,220,41,Browning-Hays,2026-03-09
INV-000104,PROD-00149,WH-CENTRAL-03,124,35,"Sellers, Hoffman and Beck",2026-07-01
INV-000017,PROD-00169,WH-WEST-02,102,94,"Johnson, Chen and Zimmerman",2026-06-22
INV-000015,PROD-00237,WH-WEST-02,133,12,"Lee, Ford and Brown",2026-01-21
INV-000217,PROD-00286,WH-EAST-01,369,73,Schroeder-Brown,2026-07-03
INV-000077,PROD-00146,WH-WEST-02,301,33,"Wilson, Wilson and Ramsey",2025-11-18
INV-000180,PROD-00173,WH-CENTRAL-03,100,67,Green-West,2026-08-21
INV-000182,PROD-00052,WH-CENTRAL-03,144,21,Burke-Graham,2025-11-03
INV-000204,PROD-00053,WH-CENTRAL-03,484,20,Burton-Sosa,2025-10-12
INV-000011,PROD-00045,WH-SOUTH-04,101,21,Hernandez LLC,2026-09-05
INV-000174,PROD-00107,WH-SOUTH-04,56,72,,2026-08-12
INV-000237,PROD-00266,WH-EAST-01,61,86,"Osborne, Hart and Lopez",2025-11-28
INV-000049,PROD-00036,WH-SOUTH-04,476,91,Romero Inc,2026-08-10
INV-000273,PROD-00171,WH-CENTRAL-03,-331.0,21,Haley-Rivera,2026-03-18
INV-000084,PROD-00007,WH-CENTRAL-03,76,83,,2025-11-16
INV-000030,PROD-00182,WH-EAST-01,305,84,Roth-Guzman,2026-05-09
INV-000099,PROD-00038,WH-SOUTH-04,392,80,"King, Norris and Cisneros",2025-11-17
INV-000213,PROD-00129,WH-WEST-02,61,62,Conrad LLC,2025-11-14
INV-000153,PROD-00273,WH-CENTRAL-03,428,33,Saunders-Morris,2026-03-27
INV-000241,PROD-00217,WH-SOUTH-04,17,66,Johnson-Burke,2026-02-24
INV-000107,PROD-00137,WH-SOUTH-04,477,10,Henderson-Garcia,2025-11-13
INV-000129,PROD-00019,WH-CENTRAL-03,42,83,Sherman-Lopez,2025-09-18
INV-000102,PROD-00117,WH-CENTRAL-03,276,67,Vaughan-Lewis,2026-03-14
INV-000074,PROD-00142,WH-CENTRAL-03,232,66,Knight Group,2026-02-16
INV-000169,PROD-00147,WH-WEST-02,89,89,Nichols-Decker,2025-09-17
INV-000267,PROD-00248,WH-CENTRAL-03,-391.0,38,Werner-James,2026-02-15
INV-000237,PROD-00266,WH-EAST-01,61,86,"Osborne, Hart and Lopez",2025-11-28
INV-000167,PROD-00242,WH-SOUTH-04,116,99,Allen LLC,2026-03-09
INV-000094,PROD-00176,WH-WEST-02,41,99,"Smith, Boyer and Fletcher",2026-03-10
INV-000187,PROD-00122,WH-CENTRAL-03,46,33,Key Inc,2026-03-07
INV-000060,PROD-00218,WH-SOUTH-04,209,54,Wood-Torres,2025-11-16
INV-000063,PROD-00210,WH-EAST-01,423,56,"Knight, Kirk and Hardin",2026-01-20
INV-000151,PROD-00028,WH-SOUTH-04,314,35,,2026-01-12
INV-000076,PROD-00043,WH-SOUTH-04,192,18,Berry Ltd,2026-02-27
INV-000216,PROD-00037,WH-EAST-01,217,73,Kramer Group,2026-06-05
INV-000091,PROD-00002,WH-WEST-02,251,32,Moore PLC,2025-10-21
INV-000221,PROD-00234,WH-CENTRAL-03,222,47,Suarez PLC,2026-02-11
INV-000028,PROD-00275,WH-WEST-02,72,36,Rivera-Walker,2025-09-08
INV-000272,PROD-00181,WH-CENTRAL-03,357,32,"Blake, Bryant and Campos",2025-12-19
INV-000254,PROD-00230,WH-CENTRAL-03,244,34,Crosby-Hooper,2026-04-19
INV-000117,PROD-00138,WH-SOUTH-04,267,70,Smith-Lee,2025-10-31
INV-000191,PROD-00123,WH-CENTRAL-03,268,96,Rodriguez Group,2025-12-29
INV-000284,PROD-00060,WH-WEST-02,240,75,Castillo Inc,2026-04-25
INV-000093,PROD-00031,WH-WEST-02,343,76,"Nunez, Hays and Simpson",2026-06-20
INV-000281,00018,WH-CENTRAL-03,220,84,Morales-Townsend,2026-02-23
INV-000279,PROD-00180,WH-SOUTH-04,297,52,Cooper-Day,2026-09-02
INV-000023,PROD-00162,WH-CENTRAL-03,361,66,"Prince, Alvarez and Garcia",2026-07-17
INV-000134,PROD-00128,WH-EAST-01,75,84,Dennis-Morrison,2026-07-15
INV-000193,PROD-00022,WH-SOUTH-04,31581.96,98,"Daniel, Hayes and Hampton",2026-08-13
INV-000105,PROD-00148,WH-WEST-02,298,21,"Wallace, Allison and Ford",2026-04-21
INV-000206,PROD-00110,WH-SOUTH-04,404,33,Lewis-Gonzales,11/10/2025
INV-000166,PROD-00220,WH-EAST-01,78,85,"Osborne, Cantrell and Kelley",2025-10-19
INV-000074,PROD-00142,WH-CENTRAL-03,232,66,Knight Group,2026-02-16
INV-000115,PROD-00207,WH-WEST-02,418,11,Nicholson-Baxter,2026-01-20
INV-000231,PROD-00150,WH-EAST-01,227,94,"Holloway, Williams and Bean",2026-03-21
INV-000268,PROD-00080,WH-EAST-01,319,66,Martin-Carroll,2026-06-23
INV-000239,PROD-00151,WH-CENTRAL-03,104,10,Travis-Delacruz,2026-01-27
INV-000092,PROD-00039,WH-WEST-02,197,85,Taylor Ltd,2025-12-25
INV-000186,PROD-00226,WH-SOUTH-04,344,54,Miller-Mason,2026-06-23
INV-000029,PROD-00187,WH-EAST-01,432,16,"Carrillo, Park and Benton",2025-10-05
INV-000208,PROD-00126,WH-SOUTH-04,412,13,"Mosley, Petersen and Mcintyre",2026-05-05
INV-000145,PROD-00032,WH-CENTRAL-03,348,94,Garcia-Garcia,2025-12-29
INV-000035,PROD-00103,WH-WEST-02,376,29,"Williams, Cooper and Goodman",2026-04-14
INV-000080,PROD-00292,WH-CENTRAL-03,261,61,"Donovan, Barrera and Lowery",2026-06-08
INV-000040,PROD-00067,WH-SOUTH-04,378,25,Stewart-Kelly,2026-05-06
INV-000263,PROD-00034,WH-WEST-02,245,79,Morris-Francis,2025-12-16
INV-000070,PROD-00078,WH-EAST-01,35,32,Jensen-Cohen,2026-03-20
INV-000014,PROD-00214,WH-SOUTH-04,299,69,Blevins LLC,2026-04-27
INV-000253,PROD-00198,WH-SOUTH-04,425,50,Gutierrez-Gray,2026-04-17
INV-000044,PROD-00247,WH-SOUTH-04,33,57,Walker LLC,2025-09-13
INV-000257,PROD-00203,WH-CENTRAL-03,23507.15,65,Castaneda-Fry,2026-04-01
INV-000022,PROD-00184,WH-EAST-01,166,90,Boyd PLC,2025-11-06
INV-000218,PROD-00070,WH-CENTRAL-03,436,39,Mendoza-Robinson,2026-06-21
INV-000227,PROD-00157,WH-SOUTH-04,273,63,"Hill, Doyle and Francis",2026-06-28
INV-000041,00193,WH-WEST-02,116,72,Anderson and Sons,2026-08-14
INV-000235,PROD-00274,WH-CENTRAL-03,214,97,Anthony Group,2026-01-19
INV-000178,PROD-00096,WH-CENTRAL-03,389,42,Fox PLC,2026-03-31
INV-000248,PROD-00300,WH-WEST-02,193,97,"Benson, Brown and Morales",2025-12-13
INV-000266,00206,WH-EAST-01,156,94,"Jacobson, Nelson and Clayton",2026-08-14
INV-000123,PROD-00213,WH-WEST-02,171,67,,2025-12-13
INV-000031,PROD-00222,WH-SOUTH-04,285,26,Clark-Williams,2026-05-18
INV-000038,PROD-00271,WH-CENTRAL-03,420,96,"Moore, Weaver and Walter",2025-11-25
INV-000062,PROD-00239,WH-SOUTH-04,413,55,Thomas LLC,2026-06-13
INV-000055,PROD-00135,WH-WEST-02,119,29,Reyes-Baker,2026-06-08
INV-000249,prod-00175,WH-SOUTH-04,134,94,Reynolds-Osborne,2026-03-09
INV-000138,PROD-00153,WH-CENTRAL-03,413,98,"Williams, Bailey and Cohen",2026-05-03
INV-000090,PROD-00003,WH-CENTRAL-03,464,26,,2026-02-17
INV-000008,PROD-00131,WH-CENTRAL-03,200,48,Cuevas-Henderson,04/16/2026
INV-000242,PROD-00008,WH-WEST-02,61,15,,2026-01-09
INV-000171,prod-00082,WH-SOUTH-04,109,34,Rogers Inc,2026-02-09
INV-000058,PROD-00277,WH-SOUTH-04,375,61,Miller-Aguirre,2026-04-28
INV-000244,PROD-00061,WH-WEST-02,47,22,"Fuller, Farrell and Reed",2025-10-04
INV-000124,PROD-00074,WH-CENTRAL-03,391,88,Mckinney-Gibbs,12/15/2025
INV-000278,00068,WH-SOUTH-04,-488.0,86,Berger Ltd,2026-03-07
INV-000056,00057,WH-EAST-01,226,91,Lee LLC,2026-06-16
INV-000109,PROD-96686,WH-EAST-01,$293,68,Davis-Jenkins,2025-10-09
INV-000139,PROD-00127,WH-EAST-01,159,68,"Miller, Odom and Kelly",2026-08-01
INV-000256,PROD-92961,WH-SOUTH-04,446,89,"Ray, Cole and Williams",2026-05-28
INV-000007,prod-00163,WH-SOUTH-04,53,85,Escobar PLC,2026-03-30
INV-000247,PROD-00154,WH-SOUTH-04,477,41,Lee and Sons,2026-08-11
INV-000165,PROD-00089,WH-SOUTH-04,175,15,Hill-Nichols,03/09/2026
INV-000154,PROD-00095,WH-CENTRAL-03,$13,14,Cole and Sons,2025-10-31
INV-000223,PROD-00033,WH-WEST-02,259,53,Guerrero LLC,2025-11-04
INV-000229,PROD-00013,WH-CENTRAL-03,211,57,"Rodriguez, Jones and Powell",2026-08-10
INV-000054,PROD-00246,WH-SOUTH-04,196,48,Callahan LLC,2026-02-06
INV-000148,PROD-00195,WH-SOUTH-04,52,84,Alexander-Anderson,2026-04-21
INV-000043,PROD-00004,WH-EAST-01,157,87,"Williams, Jackson and Carter",2025-09-23
INV-000042,PROD-93233,WH-CENTRAL-03,295,51,"Morales, Barnett and Gardner",2025-11-03
INV-000251,PROD-00069,WH-SOUTH-04,60,76,Smith-Michael,2025-09-13
INV-000087,PROD-91556,WH-SOUTH-04,55,43,Baker Ltd,2025-10-13
INV-000067,PROD-00005,WH-EAST-01,227,38,Noble-Ruiz,2025-11-17
INV-000005,PROD-00093,WH-CENTRAL-03,309,34,"Smith, Martinez and Chambers",2025-12-26
INV-000112,PROD-00027,WH-EAST-01,472,97,Brown Inc,2025-10-28
INV-000106,PROD00041,WH-EAST-01,432,71,"Fernandez, Crane and Malone",2025-12-28
INV-000202,PROD-00076,WH-CENTRAL-03,3,72,Phillips-Butler,2025-12-03
INV-000228,PROD-00030,WH-WEST-02,146,41,"Lopez, Carroll and Humphrey",2025-10-21
INV-000207,PROD-00258,WH-CENTRAL-03,10161.64,61,"Ramos, Taylor and Price",2026-01-25
INV-000021,PROD-00155,WH-SOUTH-04,179,45,Martinez and Sons,2026-01-16
INV-000192,PROD-00197,WH-SOUTH-04,5,40,Warren-Davis,2026-02-26
INV-000004,PROD-00243,WH-CENTRAL-03,439,84,Ryan-Stewart,2026-04-04
INV-000214,PROD-00055,WH-CENTRAL-03,313,89,"Payne, Lopez and Oconnor",2026-02-24
INV-000163,PROD-00106,WH-WEST-02,123,81,Thomas PLC,2025-12-13
INV-000146,PROD-00262,WH-WEST-02,393,98,Rios-Brown,2026-03-08
INV-000133,PROD-00159,WH-SOUTH-04,365,30,Daniels Inc,2025-09-28
INV-000276,PROD-00125,WH-CENTRAL-03,101,98,"Herrera, Davis and Kelley",2026-06-21
INV-000085,PROD-00044,WH-EAST-01,75,52,Sandoval Inc,2026-08-07
INV-000116,PROD-00208,WH-SOUTH-04,416,62,Watkins-Delgado,2026-08-14
INV-000003,PROD-00225,WH-SOUTH-04,197,51,Gilbert Group,2026-01-18
INV-000162,PROD-00064,WH-WEST-02,456,16,Williams Inc,2025-10-01
INV-000225,PROD-00152,WH-WEST-02,299,15,"Williams, Sanders and Powell",2026-01-02
INV-000125,PROD-00238,WH-CENTRAL-03,346,65,Tran PLC,2026-06-18
INV-000071,00288,WH-SOUTH-04,447,33,Zimmerman-Dominguez,2025-11-30
INV-000059,PROD-00101,WH-WEST-02,94,42,Clark LLC,2026-07-06
INV-000072,PROD-00099,WH-EAST-01,315,63,Roberts-James,2026-02-09
INV-000233,PROD-00079,WH-WEST-02,136,75,Larson PLC,2026-01-10
INV-000130,PROD-00256,WH-CENTRAL-03,460,32,"Lee, Anderson and Sanford",2025-11-25
INV-000210,PROD-00291,WH-SOUTH-04,137,99,Lee-Thomas,2025-09-25
INV-000066,PROD-00130,WH-WEST-02,225,44,Reynolds-Thomas,2026-02-05
INV-000271,PROD-00161,WH-WEST-02,219,45,Olson-Swanson,2026-01-19
INV-000051,PROD-00196,WH-EAST-01,447,88,"Miller, Porter and Durham",2026-04-02
INV-000199,PROD-00105,WH-WEST-02,476,57,Zuniga PLC,2026-04-18
INV-000234,PROD-00075,WH-SOUTH-04,265,34,"Bryant, Hill and Herrera",2025-11-26
INV-000039,PROD-00191,WH-SOUTH-04,225,15,Stewart PLC,23-Feb-2026
INV-000088,PROD-00280,WH-EAST-01,1,96,Klein-Hurley,2025-09-13
INV-000126,PROD-00284,WH-EAST-01,302,31,Krueger-Jordan,2026-01-13
INV-000122,PROD-00015,WH-WEST-02,246,56,Macias-White,2026-05-29
INV-000135,PROD-00010,WH-CENTRAL-03,40,26,"Goodman, Fuentes and Anderson",2026-07-23
INV-000045,PROD-00048,WH-EAST-01,196,67,Shaw-Johnson,2026-06-27
INV-000024,PROD00279,WH-SOUTH-04,452,73,Castro-Hayden,2026-03-02
INV-000164,PROD-00177,WH-CENTRAL-03,473,30,"Alexander, Friedman and Allen",2026-08-28
INV-000068,PROD-00227,WH-SOUTH-04,-275.0,76,Thompson-Dawson,2025-10-15
INV-000155,PROD-00296,WH-EAST-01,335,11,Barton-Walker,2026-05-10
INV-000027,prod-00047,WH-SOUTH-04,168,36,"Randall, Strong and Christian",2026-08-28
INV-000209,PROD-00056,WH-EAST-01,401,57,Carpenter-Simpson,2026-03-20
INV-000082,PROD-00228,WH-EAST-01,208,69,"Miller, Simmons and Simpson",2026-06-30
INV-000179,PROD-00009,WH-SOUTH-04,423,29,Perry-Greer,2025-10-23
INV-000277,PROD-00087,WH-CENTRAL-03,274,35,White and Sons,2025-11-16
INV-000150,PROD-00253,WH-EAST-01,331,24,Duran Inc,2026-06-19
INV-000219,PROD-98457,WH-EAST-01,-250.0,30,Gibson-Bell,2026-04-24
INV-000081,PROD-00170,WH-SOUTH-04,401,96,"Perry, Thornton and Smith",2025-11-24
INV-000086,PROD-00254,WH-SOUTH-04,443,55,Larson Ltd,2026-05-27
INV-000032,PROD-00285,WH-WEST-02,66,41,Sharp LLC,2026-03-03
INV-000101,PROD-00066,WH-CENTRAL-03,123,79,Wilson-Aguilar,2026-04-18
INV-000091,PROD-00002,WH-WEST-02,225.24,32,Moore PLC,2025-10-21
INV-000012,PROD-00179,WH-CENTRAL-03,152,47,Jones-Bass,2025-09-06
INV-000103,PROD-00233,WH-WEST-02,5,30,"Brown, Campbell and Diaz",2026-01-16
INV-000222,PROD-00189,WH-WEST-02,303,26,Johnson-Perez,2026-07-27
INV-000194,PROD-00219,WH-WEST-02,96,68,Anderson LLC,2026-06-07
INV-000226,PROD-00178,WH-SOUTH-04,166,80,English PLC,2026-06-06
INV-000196,PROD-00186,WH-WEST-02,475,35,Robbins and Sons,2026-05-07
INV-000265,PROD-00168,WH-CENTRAL-03,286,27,"Gardner, Scott and Davis",2026-04-10
INV-000100,PROD-00235,WH-WEST-02,360,24,Stone Ltd,2026-06-28
INV-000114,PROD-00272,WH-SOUTH-04,317,92,"George, Davis and Berry",2026-05-07
INV-000189,PROD-00014,WH-EAST-01,191,85,"Martin, Ross and Harris",2026-04-30
INV-000036,PROD-00121,WH-CENTRAL-03,495,53,Brooks LLC,2026-05-20
INV-000141,PROD-00145,WH-CENTRAL-03,116,11,Frank-Jacobs,2026-07-22
INV-000160,PROD-00250,WH-SOUTH-04,245,21,Ray-Castillo,2026-04-20
INV-000065,PROD-00216,WH-CENTRAL-03,127,56,Bryant Inc,2025-10-22
INV-000260,PROD-94165,WH-CENTRAL-03,242,28,"Callahan, Thomas and Smith",2026-08-29
INV-000010,PROD00088,WH-SOUTH-04,213,17,Long and Sons,2025-09-30
INV-000157,PROD-00221,WH-EAST-01,155,72,"Flores, Mccall and Mclaughlin",2026-05-04
INV-000142,PROD-00035,WH-WEST-02,269,84,Marshall Group,2026-08-28
INV-000275,PROD-00156,WH-CENTRAL-03,339,82,Cook-Ruiz,2025-09-24
INV-000211,PROD-00115,WH-SOUTH-04,61,91,Jordan and Sons,2026-07-19
INV-000197,PROD-00260,WH-CENTRAL-03,9201.68,48,Nelson and Sons,2025-12-14
INV-000140,PROD-00081,WH-WEST-02,354,61,"Parker, Velasquez and Carter",2026-06-25
INV-000150,PROD-00253,WH-EAST-01,331,24,Duran Inc,2026-06-19
INV-000245,PROD-00287,WH-WEST-02,215,29,"Austin, Montoya and Collins",2025-11-28
INV-000096,PROD-00085,WH-SOUTH-04,61,84,Morris Group,2025-09-07
INV-000083,PROD-91935,WH-CENTRAL-03,416,54,Garcia-Butler,2025-12-11
INV-000282,PROD-00269,WH-CENTRAL-03,129,36,"Mahoney, Garrison and Johnston",2026-04-20
INV-000280,PROD-00244,WH-CENTRAL-03,28,40,Perez PLC,2025-11-10
INV-000116,PROD-00208,WH-SOUTH-04,402.15,62,Watkins-Delgado,2026-08-14
INV-000269,PROD-00065,WH-CENTRAL-03,208,84,Cox-Hicks,2025-10-27
INV-000144,PROD-00283,WH-CENTRAL-03,269,85,Riley-Smith,2026-03-20
INV-000274,PROD-00072,WH-CENTRAL-03,495,54,"Taylor, Adams and Frederick",2025-10-17
INV-000147,PROD-00104,WH-EAST-01,219,35,Johnson-Thompson,2025-11-02
INV-000047,PROD-00017,WH-SOUTH-04,46,93,Sandoval-Wilson,2025-10-05
INV-000262,PROD-00097,WH-WEST-02,381,52,,2026-07-01
INV-000261,PROD-00166,WH-CENTRAL-03,204,81,Ramirez Inc,2026-08-21
INV-000061,PROD-00261,WH-EAST-01,446,84,Thomas-Rodriguez,2026-08-03
INV-000069,PROD-00209,WH-WEST-02,54,96,"Mclaughlin, Atkinson and Washington",2025-12-10
INV-000124,PROD-00074,WH-CENTRAL-03,391,88,Mckinney-Gibbs,12/15/2025
INV-000259,PROD-00133,WH-SOUTH-04,267,47,"Schultz, Patton and Wilson",2025-09-17
INV-000240,PROD-00188,WH-WEST-02,245,41,Goodman LLC,2026-04-01
INV-000158,PROD-00299,WH-CENTRAL-03,12,39,"Tapia, Reynolds and Howard",2026-05-31
INV-000137,PROD-00290,WH-SOUTH-04,148,37,Petersen-Nguyen,2025-10-10
INV-000113,PROD-00164,WH-EAST-01,326,54,Reyes PLC,2026-05-10
INV-000064,PROD-00268,WH-EAST-01,396,98,"Silva, Shaw and Rodriguez",2026-06-27
INV-000215,PROD-00232,WH-EAST-01,131,81,"Johnson, Reeves and Watson",2026-06-08
INV-000046,PROD-00204,WH-EAST-01,188,51,Sanders-Powell,2026-06-28
INV-000238,PROD-00265,WH-EAST-01,455,38,Allen Group,2025-09-12
INV-000173,PROD-00223,WH-EAST-01,208,92,Brewer-Gonzales,2026-07-08
INV-000243,PROD-00040,WH-SOUTH-04,139,63,"Bradley, Roberts and Williams",2025-11-06
INV-000131,PROD-00183,WH-WEST-02,418,35,Johnson-Harris,2025-09-12
INV-000250,prod-00062,WH-CENTRAL-03,355,34,,2026-02-05
INV-000156,PROD-00112,WH-SOUTH-04,374,53,Love-Brown,2026-03-03
INV-000282,PROD-00269,WH-CENTRAL-03,142.43,36,"Mahoney, Garrison and Johnston",2026-04-20
INV-000185,PROD-00113,WH-CENTRAL-03,92,79,"Mays, Bradshaw and Brown",2026-05-23
INV-000128,PROD-00167,WH-WEST-02,312,96,Phelps Ltd,2025-09-23
INV-000212,PROD-00073,WH-CENTRAL-03,324,85,"Camacho, Alvarez and Rios",2026-06-02
INV-000285,PROD-00141,WH-EAST-01,267,99,Mcmillan-Watkins,2026-02-27
INV-000097,PROD-00049,WH-WEST-02,421,12,Green-Norman,2025-10-08
INV-000172,PROD-00212,WH-CENTRAL-03,256,35,Osborn-Lawrence,2025-11-07
INV-000034,PROD-00094,WH-WEST-02,321,27,Conway-Davenport,2025-11-05
INV-000198,PROD-00012,WH-WEST-02,283,67,Farrell and Sons,2026-08-24
INV-000020,PROD-00050,WH-CENTRAL-03,362,46,"Lee, Grant and Garcia",2025-09-09
INV-000053,PROD-00116,WH-WEST-02,202,23,Weaver-Kline,2025-10-14
INV-000009,PROD-00263,WH-SOUTH-04,22491.71,81,Lawrence PLC,2026-03-24
INV-000132,PROD-00016,WH-SOUTH-04,403,96,,2026-06-26
INV-000033,PROD-00192,WH-EAST-01,119abc,23,Lucas-Rivera,2026-07-14
INV-000177,PROD-00086,WH-SOUTH-04,92,10,Romero and Sons,2026-01-05
INV-000016,PROD-93049,WH-EAST-01,337,74,Harrison Inc,2026-07-17
INV-000205,PROD-00102,WH-SOUTH-04,50,58,Mckee Group,2025-11-10
INV-000190,PROD-00134,WH-CENTRAL-03,268,66,Watson-Johnson,2025-12-30
INV-000013,PROD-00114,WH-CENTRAL-03,389,65,"Riggs, Martinez and Ray",2025-11-28
INV-000095,PROD-00202,WH-CENTRAL-03,144,76,Ellis-Lee,2026-05-23
INV-000136,PROD-00001,WH-CENTRAL-03,319,64,"Dean, King and Hubbard",2026-06-02
INV-000037,PROD-00111,WH-SOUTH-04,159,80,Hunter-Campbell,2025-09-16
INV-000130,PROD-00256,WH-CENTRAL-03,460,32,"Lee, Anderson and Sanford",2025-11-25
INV-000073,PROD-00029,WH-WEST-02,417,94,Wilson Group,01/01/2026
INV-000203,PROD-00011,WH-CENTRAL-03,88,41,Anderson and Sons,2026-01-10
INV-000230,PROD-00229,WH-CENTRAL-03,355,46,"Duncan, Martinez and Williams",2026-01-11
INV-000098,PROD-00224,WH-SOUTH-04,482,18,Smith-Diaz,2026-08-24
INV-000183,PROD-00200,WH-EAST-01,303,27,Roman-Potter,2025-11-09
